
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,622;  192,833;  205,653;177,75427
 176,32;  246,547;  215,986;  216,813; 0,00000
 176,92;  274,675;  247,602;  254,971;367,37798
 177,52;  266,201;  255,679;  265,678;105,23379
 178,12;  255,664;  239,756;  224,864; 0,00000
 178,72;  268,208;  257,525;  250,340; 0,00000
 179,32;  264,613;  248,909;  241,998; 0,00000
 179,92;  279,332;  247,063;  242,319; 0,00000
 180,52;  250,152;  235,064;  254,068;79,39046
 181,12;  278,238;  243,833;  252,404;401,37511
 181,73;  292,580;  258,371;  266,338;429,41833
 182,33;  412,853;  327,141;  336,927;875,88040
 182,93;  291,081;  265,064;  266,645;1644,99883
 183,53;  252,981;  233,755;  224,030; 0,00000
 184,13;  253,406;  236,909;  229,431; 0,00000
 184,73;  302,444;  266,448;  273,739;493,70874
 185,33;  265,700;  232,445;  341,197;30,57895
 185,93;  263,739;  226,213;  348,375;30,71766
 186,53;  283,371;  244,675;  370,650;30,71677
 187,13;  308,964;  273,291;  414,063;25,34075
 187,73;  275,663;  243,598;  361,495;27,19719
 188,33;  271,065;  237,983;  370,649;24,93665
 188,93;  294,072;  250,059;  374,130;35,47421
 189,53;  279,236;  248,981;  393,125;20,98931
 190,13;  317,912;  274,058;  409,924;32,27731
 190,73;  253,759;  218,289;  365,019;24,17396
 191,34;  296,867;  256,905;  385,888;30,98291
 191,94;  275,218;  235,829;  359,614;31,82051
 192,54;  301,093;  240,984;  391,391;39,96466
 193,14;  300,510;  258,291;  390,009;32,05232
 193,74;  298,171;  260,214;  377,424;32,38427
 194,34;  289,580;  241,445;  388,106;32,82071
 194,94;  258,159;  209,983;  342,899;36,24544
 195,54;  221,191;  190,137;  332,970;21,74144
 196,14;  260,245;  225,291;  354,341;27,08536
 196,74;  258,044;  223,445;  343,719;28,76664
 197,34;  234,615;  197,522;  345,903;24,99827
 197,94;  261,566;  232,368;  373,573;20,67776
 198,54;  271,311;  228,599;  383,909;27,50108
 199,14;  265,644;  215,368;  380,241;30,49335
