
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,895;  227,877;  205,653; 0,00000
 176,32;  243,755;  238,108;  216,813; 0,00000
 176,92;  287,466;  281,492;  254,971; 0,00000
 177,52;  273,660;  278,185;  265,678; 0,00000
 178,12;  255,759;  254,723;  224,864; 0,00000
 178,72;  276,934;  289,108;  250,340; 0,00000
 179,32;  286,971;  256,954;  241,998; 0,00000
 179,92;  272,100;  281,338;  242,319; 0,00000
 180,52;  265,213;  263,262;  254,068; 0,00000
 181,12;  279,540;  276,108;  252,404; 0,00000
 181,73;  292,052;  303,108;  266,338; 0,00000
 182,33;  413,388;  411,031;  336,927; 0,00000
 182,93;  293,603;  290,415;  266,645; 0,00000
 183,53;  252,011;  263,569;  224,030; 0,00000
 184,13;  262,353;  262,185;  229,431; 0,00000
 184,73;  299,341;  312,338;  273,739; 0,00000
 185,33;  278,704;  253,262;  341,197;28,93300
 185,93;  265,522;  255,338;  348,375;10,94538
 186,53;  292,021;  269,646;  370,650;22,15214
 187,13;  318,971;  297,108;  414,063;18,69340
 187,73;  289,091;  262,415;  361,495;26,92354
 188,33;  289,612;  251,877;  370,649;31,77075
 188,93;  294,570;  275,338;  374,130;19,46655
 189,53;  298,467;  265,800;  393,125;25,65644
 190,13;  329,458;  302,646;  409,924;24,99264
 190,73;  271,452;  238,877;  365,019;25,82410
 191,34;  308,513;  276,877;  385,888;29,02080
 191,94;  283,311;  247,108;  359,614;32,17871
 192,54;  296,628;  267,185;  391,391;23,70522
 193,14;  299,285;  296,723;  390,009; 2,74652
 193,74;  309,573;  284,415;  377,424;27,04834
 194,34;  293,002;  278,954;  388,106;12,86986
 194,94;  268,074;  235,415;  342,899;30,38467
 195,54;  237,539;  211,569;  332,970;21,39211
 196,14;  265,766;  238,877;  354,341;23,28808
 196,74;  261,900;  246,108;  343,719;16,17875
 197,34;  235,792;  215,262;  345,903;15,71480
 197,94;  269,287;  246,185;  373,573;18,13565
 198,54;  293,983;  261,954;  383,909;26,26267
 199,14;  262,712;  224,646;  380,241;24,46489
