
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  192,028;  192,833;  205,653;-6,28040
 176,32;  233,540;  215,986;  216,813; 0,00000
 176,92;  250,895;  247,602;  254,971;44,68453
 177,52;  250,928;  255,679;  265,678;-47,51522
 178,12;  232,700;  239,756;  224,864; 0,00000
 178,72;  257,412;  257,525;  250,340; 0,00000
 179,32;  255,917;  248,909;  241,998; 0,00000
 179,92;  248,293;  247,063;  242,319; 0,00000
 180,52;  246,167;  235,064;  254,068;58,42287
 181,12;  247,059;  243,833;  252,404;37,64123
 181,73;  277,863;  258,371;  266,338;244,67657
 182,33;  342,016;  327,141;  336,927;152,00533
 182,93;  274,744;  265,064;  266,645;612,05753
 183,53;  241,549;  233,755;  224,030; 0,00000
 184,13;  237,851;  236,909;  229,431; 0,00000
 184,73;  281,354;  266,448;  273,739;204,45431
 185,33;  259,436;  232,445;  341,197;24,81903
 185,93;  269,344;  226,213;  348,375;35,30570
 186,53;  269,943;  244,675;  370,650;20,05736
 187,13;  304,156;  273,291;  414,063;21,92518
 187,73;  267,793;  243,598;  361,495;20,52216
 188,33;  276,318;  237,983;  370,649;28,89602
 188,93;  273,157;  250,059;  374,130;18,61698
 189,53;  276,345;  248,981;  393,125;18,98381
 190,13;  316,129;  274,058;  409,924;30,96507
 190,73;  255,859;  218,289;  365,019;25,60510
 191,34;  285,742;  256,905;  385,888;22,35759
 191,94;  267,544;  235,829;  359,614;25,62112
 192,54;  284,162;  240,984;  391,391;28,70754
 193,14;  289,305;  258,291;  390,009;23,54574
 193,74;  285,241;  260,214;  377,424;21,35274
 194,34;  268,374;  241,445;  388,106;18,36170
 194,94;  248,429;  209,983;  342,899;28,92447
 195,54;  229,588;  190,137;  332,970;27,62053
 196,14;  255,044;  225,291;  354,341;23,05548
 196,74;  240,750;  223,445;  343,719;14,38790
 197,34;  217,916;  197,522;  345,903;13,74432
 197,94;  257,662;  232,368;  373,573;17,91322
 198,54;  267,421;  228,599;  383,909;24,99659
 199,14;  251,559;  215,368;  380,241;21,95047
