
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  208,190;  192,833;  205,653;119,78461
 176,32;  226,148;  215,986;  216,813; 0,00000
 176,92;  268,454;  247,602;  254,971;282,96132
 177,52;  261,079;  255,679;  265,678;54,00358
 178,12;  247,373;  239,756;  224,864; 0,00000
 178,72;  271,002;  257,525;  250,340; 0,00000
 179,32;  261,596;  248,909;  241,998; 0,00000
 179,92;  267,474;  247,063;  242,319; 0,00000
 180,52;  259,144;  235,064;  254,068;126,71112
 181,12;  265,743;  243,833;  252,404;255,60932
 181,73;  277,387;  258,371;  266,338;238,69835
 182,33;  374,426;  327,141;  336,927;483,20008
 182,93;  289,409;  265,064;  266,645;1539,28315
 183,53;  249,193;  233,755;  224,030; 0,00000
 184,13;  247,346;  236,909;  229,431; 0,00000
 184,73;  295,862;  266,448;  273,739;403,43686
 185,33;  259,847;  232,445;  341,197;25,19734
 185,93;  276,153;  226,213;  348,375;40,87955
 186,53;  295,633;  244,675;  370,650;40,45034
 187,13;  306,389;  273,291;  414,063;23,51153
 187,73;  277,543;  243,598;  361,495;28,79193
 188,33;  276,932;  237,983;  370,649;29,35910
 188,93;  289,366;  250,059;  374,130;31,68062
 189,53;  284,277;  248,981;  393,125;24,48658
 190,13;  322,282;  274,058;  409,924;35,49417
 190,73;  248,621;  218,289;  365,019;20,67167
 191,34;  301,786;  256,905;  385,888;34,79587
 191,94;  279,277;  235,829;  359,614;35,09995
 192,54;  291,211;  240,984;  391,391;33,39396
 193,14;  292,875;  258,291;  390,009;26,25650
 193,74;  297,505;  260,214;  377,424;31,81526
 194,34;  289,471;  241,445;  388,106;32,74650
 194,94;  261,668;  209,983;  342,899;38,88505
 195,54;  243,905;  190,137;  332,970;37,64388
 196,14;  272,655;  225,291;  354,341;36,70248
 196,74;  249,848;  223,445;  343,719;21,95229
 197,34;  247,408;  197,522;  345,903;33,62032
 197,94;  267,546;  232,368;  373,573;24,91294
 198,54;  283,334;  228,599;  383,909;35,24261
 199,14;  253,494;  215,368;  380,241;23,12444
