
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  227,658;  211,481;  218,198;240,83762
 176,32;  234,088;  242,342;  237,064; 0,00000
 176,92;  286,292;  274,024;  286,893;95,33640
 177,52;  268,799;  269,099;  274,399;-5,65755
 178,12;  256,247;  242,726;  241,865; 0,00000
 178,72;  273,565;  285,192;  276,001; 0,00000
 179,32;  271,689;  271,804;  258,781; 0,00000
 179,92;  274,758;  271,952;  251,920; 0,00000
 180,52;  257,153;  247,166;  277,718;32,68989
 181,12;  270,509;  273,258;  268,649; 0,00000
 181,73;  296,487;  303,642;  290,175; 0,00000
 182,33;  422,848;  400,787;  408,394;290,02344
 182,93;  291,588;  285,176;  293,730;74,95124
 183,53;  246,711;  256,655;  235,234; 0,00000
 184,13;  258,214;  258,269;  234,768; 0,00000
 184,73;  304,959;  310,349;  296,521; 0,00000
 185,33;  295,521;  248,820;  394,412;32,07686
 185,93;  292,999;  245,368;  398,196;31,16628
 186,53;  310,515;  265,978;  408,744;31,19594
 187,13;  333,346;  290,044;  447,866;27,43720
 187,73;  310,342;  264,675;  415,930;30,19235
 188,33;  300,153;  245,219;  387,713;38,55156
 188,93;  296,977;  270,930;  405,484;19,35774
 189,53;  293,599;  269,175;  424,072;15,76790
 190,13;  351,903;  303,044;  440,384;35,57526
 190,73;  290,792;  239,106;  383,350;35,83255
 191,34;  315,518;  276,781;  434,912;24,49662
 191,94;  286,525;  252,456;  418,799;20,48121
 192,54;  316,798;  270,574;  439,983;27,28559
 193,14;  331,196;  271,430;  434,086;36,74386
 193,74;  313,939;  277,278;  439,295;22,62774
 194,34;  308,535;  276,273;  426,370;21,49421
 194,94;  277,753;  229,891;  407,340;26,97223
 195,54;  254,820;  215,357;  369,546;25,59354
 196,14;  273,461;  234,578;  405,012;22,81409
 196,74;  279,788;  242,129;  389,416;25,56830
 197,34;  253,892;  211,648;  390,907;23,56595
 197,94;  287,971;  241,044;  415,716;26,86617
 198,54;  295,831;  255,194;  430,267;23,21166
 199,14;  275,825;  222,722;  427,949;25,87540
