
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,105;  199,741;  200,777;903,82191
 176,32;  233,976;  225,729;  223,979; 0,00000
 176,92;  264,769;  254,352;  256,468;492,26692
 177,52;  262,237;  261,585;  265,454;16,85013
 178,12;  246,152;  246,191;  228,377; 0,00000
 178,72;  263,136;  256,803;  258,493;374,64696
 179,32;  277,967;  250,652;  234,314; 0,00000
 179,92;  261,039;  255,041;  253,110; 0,00000
 180,52;  249,382;  243,055;  255,886;49,31154
 181,12;  264,834;  258,888;  259,497; 0,00000
 181,73;  285,981;  266,427;  278,520;161,69972
 182,33;  389,365;  358,357;  354,615; 0,00000
 182,93;  280,047;  274,431;  274,023; 0,00000
 183,53;  257,442;  246,416;  233,568; 0,00000
 184,13;  249,340;  235,495;  227,035; 0,00000
 184,73;  297,812;  285,799;  287,378;760,78930
 185,33;  287,502;  228,805;  366,277;42,69738
 185,93;  283,271;  235,412;  372,564;34,89466
 186,53;  309,026;  256,186;  398,310;37,17895
 187,13;  322,247;  279,426;  434,595;27,59653
 187,73;  295,685;  244,875;  373,249;39,57950
 188,33;  288,201;  250,255;  386,995;27,75080
 188,93;  310,210;  255,162;  385,621;42,19533
 189,53;  310,691;  257,227;  401,302;37,10816
 190,13;  347,132;  280,670;  423,850;46,41870
 190,73;  292,459;  224,529;  378,443;44,13488
 191,34;  317,490;  264,081;  410,691;36,42952
 191,94;  289,637;  245,019;  377,905;33,57629
 192,54;  301,794;  247,664;  427,510;30,09836
 193,14;  314,290;  261,733;  418,542;33,51650
 193,74;  314,402;  262,654;  401,356;37,30847
 194,34;  310,584;  254,966;  402,972;37,57847
 194,94;  270,485;  221,040;  376,033;31,90093
 195,54;  244,053;  216,190;  352,702;20,41077
 196,14;  261,938;  226,891;  382,071;22,58455
 196,74;  273,451;  220,111;  382,041;32,94022
 197,34;  249,541;  197,127;  382,736;28,23906
 197,94;  273,378;  232,119;  400,126;24,55799
 198,54;  284,621;  246,429;  416,944;22,39788
 199,14;  258,752;  216,900;  396,880;23,25385
