
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  223,169;  229,418;  218,198; 0,00000
 176,32;  229,704;  247,324;  237,064; 0,00000
 176,92;  284,930;  282,567;  286,893;54,62500
 177,52;  265,475;  284,646;  274,399; 0,00000
 178,12;  238,847;  254,325;  241,865; 0,00000
 178,72;  278,577;  275,244;  276,001; 0,00000
 179,32;  264,223;  261,786;  258,781; 0,00000
 179,92;  261,978;  278,869;  251,920; 0,00000
 180,52;  250,339;  255,811;  277,718;-24,98177
 181,12;  269,224;  278,332;  268,649; 0,00000
 181,73;  296,108;  290,564;  290,175; 0,00000
 182,33;  402,902;  402,420;  408,394; 8,07364
 182,93;  277,857;  294,107;  293,730; 0,00000
 183,53;  253,256;  256,318;  235,234; 0,00000
 184,13;  254,055;  253,474;  234,768; 0,00000
 184,73;  302,614;  299,777;  296,521; 0,00000
 185,33;  269,864;  249,219;  394,412;14,21954
 185,93;  291,211;  257,437;  398,196;23,99428
 186,53;  301,255;  257,444;  408,744;28,95629
 187,13;  320,612;  295,841;  447,866;16,29379
 187,73;  297,098;  263,439;  415,930;22,07297
 188,33;  287,206;  252,817;  387,713;25,49286
 188,93;  293,163;  266,334;  405,484;19,28066
 189,53;  301,781;  260,856;  424,072;25,07412
 190,13;  324,269;  306,061;  440,384;13,55534
 190,73;  260,481;  243,156;  383,350;12,35771
 191,34;  300,738;  274,020;  434,912;16,60609
 191,94;  291,672;  254,656;  418,799;22,55116
 192,54;  295,426;  254,543;  439,983;22,04654
 193,14;  302,654;  280,840;  434,086;14,23465
 193,74;  301,567;  281,145;  439,295;12,91302
 194,34;  304,268;  269,151;  426,370;22,33664
 194,94;  274,189;  235,994;  407,340;22,29162
 195,54;  240,603;  210,604;  369,546;18,87408
 196,14;  265,150;  229,307;  405,012;20,39941
 196,74;  256,912;  235,447;  389,416;13,94090
 197,34;  243,559;  209,854;  390,907;18,61606
 197,94;  269,116;  244,611;  415,716;14,32193
 198,54;  293,130;  264,076;  430,267;17,48200
 199,14;  265,134;  235,166;  427,949;15,54493
