
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,535;  211,481;  218,198;164,56945
 176,32;  226,972;  242,342;  237,064; 0,00000
 176,92;  282,781;  274,024;  286,893;68,04881
 177,52;  273,996;  269,099;  274,399;92,38500
 178,12;  256,084;  242,726;  241,865; 0,00000
 178,72;  275,424;  285,192;  276,001; 0,00000
 179,32;  276,263;  271,804;  258,781; 0,00000
 179,92;  271,394;  271,952;  251,920; 0,00000
 180,52;  254,428;  247,166;  277,718;23,77096
 181,12;  273,275;  273,258;  268,649; 0,00000
 181,73;  295,241;  303,642;  290,175; 0,00000
 182,33;  403,416;  400,787;  408,394;34,56527
 182,93;  298,081;  285,176;  293,730;150,86171
 183,53;  253,534;  256,655;  235,234; 0,00000
 184,13;  253,295;  258,269;  234,768; 0,00000
 184,73;  299,686;  310,349;  296,521; 0,00000
 185,33;  297,814;  248,820;  394,412;33,65168
 185,93;  293,518;  245,368;  398,196;31,50583
 186,53;  316,555;  265,978;  408,744;35,42646
 187,13;  340,433;  290,044;  447,866;31,92742
 187,73;  299,322;  264,675;  415,930;22,90665
 188,33;  299,601;  245,219;  387,713;38,16464
 188,93;  323,378;  270,930;  405,484;38,97924
 189,53;  313,567;  269,175;  424,072;28,65925
 190,13;  348,667;  303,044;  440,384;33,21865
 190,73;  281,222;  239,106;  383,350;29,19770
 191,34;  325,256;  276,781;  434,912;30,65444
 191,94;  306,034;  252,456;  418,799;32,20939
 192,54;  315,471;  270,574;  439,983;26,50216
 193,14;  307,150;  271,430;  434,086;21,96069
 193,74;  329,175;  277,278;  439,295;32,03173
 194,34;  320,237;  276,273;  426,370;29,29019
 194,94;  275,466;  229,891;  407,340;25,68339
 195,54;  243,293;  215,357;  369,546;18,11765
 196,14;  284,751;  234,578;  405,012;29,43814
 196,74;  278,360;  242,129;  389,416;24,59875
 197,34;  251,464;  211,648;  390,907;22,21105
 197,94;  279,458;  241,044;  415,716;21,99247
 198,54;  308,118;  255,194;  430,267;30,22981
 199,14;  268,825;  222,722;  427,949;22,46441
