
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,865;  199,741;  200,777;398,07117
 176,32;  227,691;  225,729;  223,979; 0,00000
 176,92;  257,923;  254,352;  256,468;168,72716
 177,52;  266,013;  261,585;  265,454;114,45462
 178,12;  239,710;  246,191;  228,377; 0,00000
 178,72;  262,387;  256,803;  258,493;330,37374
 179,32;  250,060;  250,652;  234,314; 0,00000
 179,92;  259,657;  255,041;  253,110; 0,00000
 180,52;  249,786;  243,055;  255,886;52,45713
 181,12;  257,818;  258,888;  259,497; 0,00000
 181,73;  280,597;  266,427;  278,520;117,18036
 182,33;  362,323;  358,357;  354,615; 0,00000
 182,93;  278,719;  274,431;  274,023; 0,00000
 183,53;  247,094;  246,416;  233,568; 0,00000
 184,13;  247,571;  235,495;  227,035; 0,00000
 184,73;  279,756;  285,799;  287,378;-382,71107
 185,33;  289,453;  228,805;  366,277;44,11638
 185,93;  298,049;  235,412;  372,564;45,66996
 186,53;  314,631;  256,186;  398,310;41,12241
 187,13;  350,133;  279,426;  434,595;45,56782
 187,73;  312,507;  244,875;  373,249;52,68355
 188,33;  309,093;  250,255;  386,995;43,02940
 188,93;  315,672;  255,162;  385,621;46,38260
 189,53;  319,855;  257,227;  401,302;43,46898
 190,13;  351,184;  280,670;  423,850;49,24864
 190,73;  294,859;  224,529;  378,443;45,69468
 191,34;  336,000;  264,081;  410,691;49,05483
 191,94;  305,614;  245,019;  377,905;45,59965
 192,54;  323,643;  247,664;  427,510;42,24702
 193,14;  325,802;  261,733;  418,542;40,85792
 193,74;  322,956;  262,654;  401,356;43,47573
 194,34;  324,975;  254,966;  402,972;47,30171
 194,94;  290,969;  221,040;  376,033;45,11749
 195,54;  274,380;  216,190;  352,702;42,62619
 196,14;  292,271;  226,891;  382,071;42,13173
 196,74;  289,360;  220,111;  382,041;42,76492
 197,34;  273,416;  197,127;  382,736;41,10211
 197,94;  297,151;  232,119;  400,126;38,70783
 198,54;  315,486;  246,429;  416,944;40,49895
 199,14;  281,599;  216,900;  396,880;35,94809
