
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  211,731;  190,196;  190,611; 0,00000
 176,32;  228,819;  220,808;  214,863; 0,00000
 176,92;  259,940;  230,195;  230,188; 0,00000
 177,52;  257,510;  248,580;  258,697;88,26562
 178,12;  234,589;  231,962;  210,641; 0,00000
 178,72;  269,862;  254,115;  247,099; 0,00000
 179,32;  253,574;  231,116;  228,583; 0,00000
 179,92;  255,674;  234,963;  235,715; 0,00000
 180,52;  243,163;  233,966;  240,193;147,69501
 181,12;  255,340;  247,502;  241,248; 0,00000
 181,73;  277,230;  262,502;  257,259; 0,00000
 182,33;  353,600;  313,119;  315,976;1417,01154
 182,93;  262,223;  242,964;  258,729;122,16253
 183,53;  240,027;  234,730;  223,193; 0,00000
 184,13;  243,512;  240,269;  208,950; 0,00000
 184,73;  270,520;  257,730;  258,096; 0,00000
 185,33;  283,858;  228,331;  353,732;44,27960
 185,93;  279,729;  232,714;  366,417;35,16411
 186,53;  293,815;  235,638;  378,269;40,78884
 187,13;  321,400;  274,870;  419,071;32,26711
 187,73;  284,522;  232,406;  358,474;41,33946
 188,33;  277,534;  230,559;  374,577;32,61703
 188,93;  296,972;  245,479;  372,134;40,65609
 189,53;  303,173;  237,399;  386,092;44,23450
 190,13;  327,590;  263,472;  395,379;48,60824
 190,73;  267,734;  220,706;  350,374;36,26821
 191,34;  305,327;  262,093;  376,943;37,64365
 191,94;  286,957;  237,789;  352,157;42,99135
 192,54;  293,168;  245,641;  406,376;29,56887
 193,14;  307,181;  245,793;  399,720;39,88138
 193,74;  306,017;  241,408;  390,705;43,27565
 194,34;  301,654;  244,409;  388,666;39,68247
 194,94;  268,202;  206,947;  357,290;40,74337
 195,54;  262,614;  201,792;  321,922;50,63026
 196,14;  265,098;  217,025;  377,667;29,92580
 196,74;  255,680;  217,330;  354,898;27,87683
 197,34;  243,242;  200,257;  357,042;27,41690
 197,94;  270,715;  220,793;  384,139;30,56197
 198,54;  275,315;  226,409;  404,002;27,53808
 199,14;  252,298;  208,642;  402,616;22,50588
