
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  211,174;  211,481;  218,198;-4,57625
 176,32;  230,562;  242,342;  237,064; 0,00000
 176,92;  280,658;  274,024;  286,893;51,55428
 177,52;  279,496;  269,099;  274,399;196,17468
 178,12;  248,595;  242,726;  241,865; 0,00000
 178,72;  281,088;  285,192;  276,001; 0,00000
 179,32;  269,000;  271,804;  258,781; 0,00000
 179,92;  278,888;  271,952;  251,920; 0,00000
 180,52;  267,173;  247,166;  277,718;65,48761
 181,12;  292,829;  273,258;  268,649; 0,00000
 181,73;  293,966;  303,642;  290,175; 0,00000
 182,33;  410,560;  400,787;  408,394;128,48369
 182,93;  292,939;  285,176;  293,730;90,74966
 183,53;  247,059;  256,655;  235,234; 0,00000
 184,13;  257,632;  258,269;  234,768; 0,00000
 184,73;  310,428;  310,349;  296,521; 0,00000
 185,33;  285,390;  248,820;  394,412;25,11838
 185,93;  292,920;  245,368;  398,196;31,11440
 186,53;  308,476;  265,978;  408,744;29,76776
 187,13;  332,484;  290,044;  447,866;26,89072
 187,73;  294,229;  264,675;  415,930;19,53968
 188,33;  305,962;  245,219;  387,713;42,62832
 188,93;  298,998;  270,930;  405,484;20,85981
 189,53;  308,347;  269,175;  424,072;25,28915
 190,13;  332,791;  303,044;  440,384;21,65909
 190,73;  274,467;  239,106;  383,350;24,51504
 191,34;  319,537;  276,781;  434,912;27,03793
 191,94;  306,094;  252,456;  418,799;32,24543
 192,54;  326,179;  270,574;  439,983;32,82300
 193,14;  323,750;  271,430;  434,086;32,16629
 193,74;  324,047;  277,278;  439,295;28,86692
 194,34;  324,178;  276,273;  426,370;31,91588
 194,94;  278,039;  229,891;  407,340;27,13324
 195,54;  244,783;  215,357;  369,546;19,08432
 196,14;  275,404;  234,578;  405,012;23,95394
 196,74;  259,663;  242,129;  389,416;11,90465
 197,34;  251,814;  211,648;  390,907;22,40629
 197,94;  290,858;  241,044;  415,716;28,51874
 198,54;  293,918;  255,194;  430,267;22,11901
 199,14;  274,455;  222,722;  427,949;25,20809
