
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,639;  199,741;  200,777;2017,03587
 176,32;  246,013;  225,729;  223,979; 0,00000
 176,92;  275,149;  254,352;  256,468;982,79998
 177,52;  277,623;  261,585;  265,454;414,48575
 178,12;  244,975;  246,191;  228,377; 0,00000
 178,72;  274,960;  256,803;  258,493;1074,17991
 179,32;  268,219;  250,652;  234,314; 0,00000
 179,92;  270,018;  255,041;  253,110; 0,00000
 180,52;  255,728;  243,055;  255,886;98,76433
 181,12;  273,432;  258,888;  259,497; 0,00000
 181,73;  287,891;  266,427;  278,520;177,49824
 182,33;  395,812;  358,357;  354,615; 0,00000
 182,93;  279,602;  274,431;  274,023; 0,00000
 183,53;  238,521;  246,416;  233,568; 0,00000
 184,13;  247,041;  235,495;  227,035; 0,00000
 184,73;  300,023;  285,799;  287,378;900,80851
 185,33;  307,385;  228,805;  366,277;57,16045
 185,93;  312,333;  235,412;  372,564;56,08399
 186,53;  332,107;  256,186;  398,310;53,41901
 187,13;  359,398;  279,426;  434,595;51,53895
 187,73;  319,890;  244,875;  373,249;58,43470
 188,33;  325,325;  250,255;  386,995;54,89974
 188,93;  334,761;  255,162;  385,621;61,01410
 189,53;  337,099;  257,227;  401,302;55,43812
 190,13;  359,737;  280,670;  423,850;55,22215
 190,73;  308,288;  224,529;  378,443;54,41923
 191,34;  343,161;  264,081;  410,691;53,93885
 191,94;  317,308;  245,019;  377,905;54,39938
 192,54;  353,344;  247,664;  427,510;58,76144
 193,14;  343,806;  261,733;  418,542;52,33982
 193,74;  343,773;  262,654;  401,356;58,48439
 194,34;  349,494;  254,966;  402,972;63,86801
 194,94;  308,324;  221,040;  376,033;56,31427
 195,54;  275,938;  216,190;  352,702;43,76740
 196,14;  312,364;  226,891;  382,071;55,07994
 196,74;  311,712;  220,111;  382,041;56,56791
 197,34;  290,315;  197,127;  382,736;50,20652
 197,94;  307,853;  232,119;  400,126;45,07804
 198,54;  337,032;  246,429;  416,944;53,13472
 199,14;  301,154;  216,900;  396,880;46,81306
