
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  221,335;  211,481;  218,198;146,69827
 176,32;  234,377;  242,342;  237,064; 0,00000
 176,92;  282,885;  274,024;  286,893;68,85691
 177,52;  273,870;  269,099;  274,399;90,01722
 178,12;  246,950;  242,726;  241,865; 0,00000
 178,72;  280,364;  285,192;  276,001; 0,00000
 179,32;  271,513;  271,804;  258,781; 0,00000
 179,92;  266,649;  271,952;  251,920; 0,00000
 180,52;  263,233;  247,166;  277,718;52,59128
 181,12;  268,222;  273,258;  268,649; 0,00000
 181,73;  295,574;  303,642;  290,175; 0,00000
 182,33;  411,063;  400,787;  408,394;135,09637
 182,93;  294,417;  285,176;  293,730;108,02627
 183,53;  253,088;  256,655;  235,234; 0,00000
 184,13;  258,466;  258,269;  234,768; 0,00000
 184,73;  311,932;  310,349;  296,521; 0,00000
 185,33;  303,228;  248,820;  394,412;37,37022
 185,93;  311,001;  245,368;  398,196;42,94571
 186,53;  333,042;  265,978;  408,744;46,97498
 187,13;  342,774;  290,044;  447,866;33,41113
 187,73;  327,345;  264,675;  415,930;41,43349
 188,33;  309,466;  245,219;  387,713;45,08756
 188,93;  320,691;  270,930;  405,484;36,98207
 189,53;  327,485;  269,175;  424,072;37,64442
 190,13;  363,029;  303,044;  440,384;43,67631
 190,73;  314,749;  239,106;  383,350;52,44134
 191,34;  330,564;  276,781;  434,912;34,01167
 191,94;  319,817;  252,456;  418,799;40,49546
 192,54;  334,126;  270,574;  439,983;37,51420
 193,14;  340,645;  271,430;  434,086;42,55304
 193,74;  330,899;  277,278;  439,295;33,09584
 194,34;  323,810;  276,273;  426,370;31,67097
 194,94;  293,038;  229,891;  407,340;35,58568
 195,54;  267,553;  215,357;  369,546;33,85192
 196,14;  293,249;  234,578;  405,012;34,42444
 196,74;  288,695;  242,129;  389,416;31,61604
 197,34;  267,813;  211,648;  390,907;31,33164
 197,94;  300,954;  241,044;  415,716;34,29877
 198,54;  325,001;  255,194;  430,267;39,87312
 199,14;  283,100;  222,722;  427,949;29,42027
