
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  201,435;  190,196;  190,611; 0,00000
 176,32;  219,890;  220,808;  214,863; 0,00000
 176,92;  256,491;  230,195;  230,188; 0,00000
 177,52;  246,288;  248,580;  258,697;-22,65277
 178,12;  230,246;  231,962;  210,641; 0,00000
 178,72;  253,640;  254,115;  247,099; 0,00000
 179,32;  259,180;  231,116;  228,583; 0,00000
 179,92;  242,374;  234,963;  235,715; 0,00000
 180,52;  249,441;  233,966;  240,193;248,53003
 181,12;  248,973;  247,502;  241,248; 0,00000
 181,73;  269,432;  262,502;  257,259; 0,00000
 182,33;  340,045;  313,119;  315,976;942,50938
 182,93;  259,753;  242,964;  258,729;106,49592
 183,53;  233,696;  234,730;  223,193; 0,00000
 184,13;  227,585;  240,269;  208,950; 0,00000
 184,73;  276,111;  257,730;  258,096; 0,00000
 185,33;  270,417;  228,331;  353,732;33,56116
 185,93;  263,630;  232,714;  366,417;23,12275
 186,53;  287,729;  235,638;  378,269;36,52165
 187,13;  306,118;  274,870;  419,071;21,66963
 187,73;  273,009;  232,406;  358,474;32,20708
 188,33;  278,759;  230,559;  374,577;33,46801
 188,93;  281,609;  245,479;  372,134;28,52605
 189,53;  283,904;  237,399;  386,092;31,27557
 190,13;  310,271;  263,472;  395,379;35,47848
 190,73;  258,373;  220,706;  350,374;29,04914
 191,34;  290,737;  262,093;  376,943;24,93987
 191,94;  264,344;  237,789;  352,157;23,21902
 192,54;  288,903;  245,641;  406,376;26,91489
 193,14;  289,655;  245,793;  399,720;28,49532
 193,74;  283,246;  241,408;  390,705;28,02312
 194,34;  282,728;  244,409;  388,666;26,56308
 194,94;  252,428;  206,947;  357,290;30,25123
 195,54;  230,601;  201,792;  321,922;23,98121
 196,14;  257,303;  217,025;  377,667;25,07319
 196,74;  250,451;  217,330;  354,898;24,07568
 197,34;  236,650;  200,257;  357,042;23,21193
 197,94;  266,382;  220,793;  384,139;27,90950
 198,54;  274,054;  226,409;  404,002;26,82791
 199,14;  251,644;  208,642;  402,616;22,16895
