
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,401;  229,418;  218,198; 0,00000
 176,32;  228,809;  247,324;  237,064; 0,00000
 176,92;  288,780;  282,567;  286,893;143,62148
 177,52;  267,909;  284,646;  274,399; 0,00000
 178,12;  245,250;  254,325;  241,865; 0,00000
 178,72;  274,589;  275,244;  276,001; 0,00000
 179,32;  267,790;  261,786;  258,781; 0,00000
 179,92;  268,216;  278,869;  251,920; 0,00000
 180,52;  255,359;  255,811;  277,718;-2,06429
 181,12;  270,136;  278,332;  268,649; 0,00000
 181,73;  288,382;  290,564;  290,175; 0,00000
 182,33;  412,031;  402,420;  408,394;160,88904
 182,93;  282,910;  294,107;  293,730; 0,00000
 183,53;  250,845;  256,318;  235,234; 0,00000
 184,13;  252,685;  253,474;  234,768; 0,00000
 184,73;  309,851;  299,777;  296,521; 0,00000
 185,33;  278,448;  249,219;  394,412;20,13123
 185,93;  292,286;  257,437;  398,196;24,75793
 186,53;  300,693;  257,444;  408,744;28,58503
 187,13;  324,544;  295,841;  447,866;18,88053
 187,73;  296,609;  263,439;  415,930;21,75200
 188,33;  293,510;  252,817;  387,713;30,16653
 188,93;  305,565;  266,334;  405,484;28,19350
 189,53;  298,357;  260,856;  424,072;22,97627
 190,13;  333,637;  306,061;  440,384;20,52986
 190,73;  287,033;  243,156;  383,350;31,29737
 191,34;  305,004;  274,020;  434,912;19,25755
 191,94;  283,317;  254,656;  418,799;17,46113
 192,54;  293,597;  254,543;  439,983;21,06012
 193,14;  323,528;  280,840;  434,086;27,85613
 193,74;  318,169;  281,145;  439,295;23,41033
 194,34;  299,098;  269,151;  426,370;19,04805
 194,94;  274,144;  235,994;  407,340;22,26525
 195,54;  257,792;  210,604;  369,546;29,68925
 196,14;  277,475;  229,307;  405,012;27,41423
 196,74;  261,992;  235,447;  389,416;17,24067
 197,34;  239,609;  209,854;  390,907;16,43447
 197,94;  270,044;  244,611;  415,716;14,86379
 198,54;  297,918;  264,076;  430,267;20,36288
 199,14;  265,578;  235,166;  427,949;15,77563
