
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  231,096;  211,481;  218,198;292,01086
 176,32;  241,441;  242,342;  237,064; 0,00000
 176,92;  283,023;  274,024;  286,893;69,93329
 177,52;  275,398;  269,099;  274,399;118,85617
 178,12;  263,737;  242,726;  241,865; 0,00000
 178,72;  275,024;  285,192;  276,001; 0,00000
 179,32;  265,505;  271,804;  258,781; 0,00000
 179,92;  262,631;  271,952;  251,920; 0,00000
 180,52;  256,430;  247,166;  277,718;30,32377
 181,12;  271,504;  273,258;  268,649; 0,00000
 181,73;  298,212;  303,642;  290,175; 0,00000
 182,33;  412,163;  400,787;  408,394;149,54811
 182,93;  299,193;  285,176;  293,730;163,86260
 183,53;  245,546;  256,655;  235,234; 0,00000
 184,13;  255,139;  258,269;  234,768; 0,00000
 184,73;  308,389;  310,349;  296,521; 0,00000
 185,33;  295,362;  248,820;  394,412;31,96766
 185,93;  301,702;  245,368;  398,196;36,86097
 186,53;  318,507;  265,978;  408,744;36,79379
 187,13;  329,989;  290,044;  447,866;25,31020
 187,73;  303,000;  264,675;  415,930;25,33796
 188,33;  296,758;  245,219;  387,713;36,16955
 188,93;  313,237;  270,930;  405,484;31,44265
 189,53;  305,763;  269,175;  424,072;23,62061
 190,13;  354,015;  303,044;  440,384;37,11321
 190,73;  291,262;  239,106;  383,350;36,15830
 191,34;  322,561;  276,781;  434,912;28,95027
 191,94;  302,555;  252,456;  418,799;30,11778
 192,54;  312,876;  270,574;  439,983;24,97038
 193,14;  328,026;  271,430;  434,086;34,79493
 193,74;  325,214;  277,278;  439,295;29,58739
 194,34;  320,902;  276,273;  426,370;29,73344
 194,94;  288,897;  229,891;  407,340;33,25232
 195,54;  258,030;  215,357;  369,546;27,67536
 196,14;  281,291;  234,578;  405,012;27,40819
 196,74;  275,153;  242,129;  389,416;22,42164
 197,34;  257,278;  211,648;  390,907;25,45454
 197,94;  293,913;  241,044;  415,716;30,26761
 198,54;  309,201;  255,194;  430,267;30,84838
 199,14;  275,708;  222,722;  427,949;25,81841
