
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,949;  211,481;  218,198;81,39679
 176,32;  237,203;  242,342;  237,064; 0,00000
 176,92;  289,381;  274,024;  286,893;119,33631
 177,52;  260,508;  269,099;  274,399;-162,09770
 178,12;  236,186;  242,726;  241,865; 0,00000
 178,72;  280,896;  285,192;  276,001; 0,00000
 179,32;  281,575;  271,804;  258,781; 0,00000
 179,92;  278,339;  271,952;  251,920; 0,00000
 180,52;  261,595;  247,166;  277,718;47,22749
 181,12;  276,280;  273,258;  268,649; 0,00000
 181,73;  299,514;  303,642;  290,175; 0,00000
 182,33;  421,924;  400,787;  408,394;277,88588
 182,93;  290,689;  285,176;  293,730;64,44919
 183,53;  267,285;  256,655;  235,234; 0,00000
 184,13;  259,705;  258,269;  234,768; 0,00000
 184,73;  306,914;  310,349;  296,521; 0,00000
 185,33;  293,855;  248,820;  394,412;30,93257
 185,93;  291,449;  245,368;  398,196;30,15176
 186,53;  312,200;  265,978;  408,744;32,37625
 187,13;  337,806;  290,044;  447,866;30,26300
 187,73;  303,271;  264,675;  415,930;25,51708
 188,33;  303,008;  245,219;  387,713;40,55511
 188,93;  315,588;  270,930;  405,484;33,18937
 189,53;  309,172;  269,175;  424,072;25,82163
 190,13;  344,415;  303,044;  440,384;30,12297
 190,73;  284,819;  239,106;  383,350;31,69150
 191,34;  324,655;  276,781;  434,912;30,27441
 191,94;  302,863;  252,456;  418,799;30,30334
 192,54;  310,767;  270,574;  439,983;23,72553
 193,14;  337,083;  271,430;  434,086;40,36346
 193,74;  322,829;  277,278;  439,295;28,11525
 194,34;  308,012;  276,273;  426,370;21,14582
 194,94;  276,264;  229,891;  407,340;26,13317
 195,54;  255,287;  215,357;  369,546;25,89661
 196,14;  279,147;  234,578;  405,012;26,15039
 196,74;  288,666;  242,129;  389,416;31,59581
 197,34;  255,838;  211,648;  390,907;24,65108
 197,94;  282,496;  241,044;  415,716;23,73135
 198,54;  309,289;  255,194;  430,267;30,89839
 199,14;  268,308;  222,722;  427,949;22,21283
