
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  198,026;  190,196;  190,611; 0,00000
 176,32;  238,291;  220,808;  214,863; 0,00000
 176,92;  251,242;  230,195;  230,188; 0,00000
 177,52;  258,941;  248,580;  258,697;102,41466
 178,12;  226,944;  231,962;  210,641; 0,00000
 178,72;  248,557;  254,115;  247,099; 0,00000
 179,32;  249,421;  231,116;  228,583; 0,00000
 179,92;  245,741;  234,963;  235,715; 0,00000
 180,52;  242,167;  233,966;  240,193;131,71007
 181,12;  250,228;  247,502;  241,248; 0,00000
 181,73;  282,299;  262,502;  257,259; 0,00000
 182,33;  345,810;  313,119;  315,976;1144,31325
 182,93;  258,459;  242,964;  258,729;98,28877
 183,53;  236,202;  234,730;  223,193; 0,00000
 184,13;  237,407;  240,269;  208,950; 0,00000
 184,73;  272,709;  257,730;  258,096; 0,00000
 185,33;  298,337;  228,331;  353,732;55,82536
 185,93;  320,086;  232,714;  366,417;65,34775
 186,53;  340,382;  235,638;  378,269;73,43712
 187,13;  366,561;  274,870;  419,071;63,58525
 187,73;  326,639;  232,406;  358,474;74,74760
 188,33;  331,938;  230,559;  374,577;70,39287
 188,93;  336,662;  245,479;  372,134;71,99346
 189,53;  329,661;  237,399;  386,092;62,04865
 190,13;  366,832;  263,472;  395,379;78,35838
 190,73;  311,488;  220,706;  350,374;70,01096
 191,34;  341,618;  262,093;  376,943;69,24225
 191,94;  307,171;  237,789;  352,157;60,66595
 192,54;  342,711;  245,641;  406,376;60,39148
 193,14;  347,434;  245,793;  399,720;66,03178
 193,74;  344,868;  241,408;  390,705;69,29819
 194,34;  340,806;  244,409;  388,666;66,82291
 194,94;  316,567;  206,947;  357,290;72,91313
 195,54;  297,503;  201,792;  321,922;79,67340
 196,14;  310,899;  217,025;  377,667;58,43654
 196,74;  310,362;  217,330;  354,898;67,62594
 197,34;  308,290;  200,257;  357,042;68,90516
 197,94;  323,015;  220,793;  384,139;62,57991
 198,54;  332,336;  226,409;  404,002;59,64570
 199,14;  305,425;  208,642;  402,616;49,89502
