
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,683;  199,741;  200,777;1442,18029
 176,32;  237,984;  225,729;  223,979; 0,00000
 176,92;  276,100;  254,352;  256,468;1027,74100
 177,52;  269,522;  261,585;  265,454;205,13413
 178,12;  244,959;  246,191;  228,377; 0,00000
 178,72;  274,562;  256,803;  258,493;1050,59251
 179,32;  261,889;  250,652;  234,314; 0,00000
 179,92;  271,882;  255,041;  253,110; 0,00000
 180,52;  265,500;  243,055;  255,886;174,92743
 181,12;  267,409;  258,888;  259,497; 0,00000
 181,73;  290,722;  266,427;  278,520;200,90568
 182,33;  399,994;  358,357;  354,615; 0,00000
 182,93;  292,601;  274,431;  274,023; 0,00000
 183,53;  243,298;  246,416;  233,568; 0,00000
 184,13;  241,121;  235,495;  227,035; 0,00000
 184,73;  300,857;  285,799;  287,378;953,64683
 185,33;  280,786;  228,805;  366,277;37,81201
 185,93;  288,559;  235,412;  372,564;38,75003
 186,53;  297,457;  256,186;  398,310;29,03861
 187,13;  342,445;  279,426;  434,595;40,61292
 187,73;  296,100;  244,875;  373,249;39,90270
 188,33;  302,204;  250,255;  386,995;37,99101
 188,93;  295,877;  255,162;  385,621;31,20879
 189,53;  306,635;  257,227;  401,302;34,29296
 190,13;  354,878;  280,670;  423,850;51,82878
 190,73;  288,680;  224,529;  378,443;41,67994
 191,34;  320,976;  264,081;  410,691;38,80729
 191,94;  280,063;  245,019;  377,905;26,37155
 192,54;  298,658;  247,664;  427,510;28,35437
 193,14;  317,053;  261,733;  418,542;35,27856
 193,74;  315,325;  262,654;  401,356;37,97435
 194,34;  315,832;  254,966;  402,972;41,12400
 194,94;  285,747;  221,040;  376,033;41,74831
 195,54;  240,357;  216,190;  352,702;17,70329
 196,14;  282,958;  226,891;  382,071;36,13041
 196,74;  264,040;  220,111;  382,041;27,12823
 197,34;  254,880;  197,127;  382,736;31,11521
 197,94;  279,480;  232,119;  400,126;28,18975
 198,54;  297,170;  246,429;  416,944;29,75750
 199,14;  277,971;  216,900;  396,880;33,93222
