
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  215,933;  211,481;  218,198;66,27128
 176,32;  237,547;  242,342;  237,064; 0,00000
 176,92;  279,002;  274,024;  286,893;38,68416
 177,52;  277,503;  269,099;  274,399;158,56290
 178,12;  234,575;  242,726;  241,865; 0,00000
 178,72;  271,117;  285,192;  276,001; 0,00000
 179,32;  264,300;  271,804;  258,781; 0,00000
 179,92;  269,748;  271,952;  251,920; 0,00000
 180,52;  269,425;  247,166;  277,718;72,85676
 181,12;  286,385;  273,258;  268,649; 0,00000
 181,73;  301,106;  303,642;  290,175; 0,00000
 182,33;  405,257;  400,787;  408,394;58,76734
 182,93;  290,898;  285,176;  293,730;66,89427
 183,53;  245,869;  256,655;  235,234; 0,00000
 184,13;  250,299;  258,269;  234,768; 0,00000
 184,73;  315,352;  310,349;  296,521; 0,00000
 185,33;  290,207;  248,820;  394,412;28,42665
 185,93;  290,884;  245,368;  398,196;29,78209
 186,53;  314,468;  265,978;  408,744;33,96487
 187,13;  326,902;  290,044;  447,866;23,35390
 187,73;  296,131;  264,675;  415,930;20,79720
 188,33;  304,942;  245,219;  387,713;41,91289
 188,93;  312,099;  270,930;  405,484;30,59696
 189,53;  304,385;  269,175;  424,072;22,73098
 190,13;  339,611;  303,044;  440,384;26,62522
 190,73;  284,898;  239,106;  383,350;31,74638
 191,34;  321,658;  276,781;  434,912;28,37905
 191,94;  315,451;  252,456;  418,799;37,87042
 192,54;  321,378;  270,574;  439,983;29,98876
 193,14;  322,863;  271,430;  434,086;31,62080
 193,74;  326,604;  277,278;  439,295;30,44489
 194,34;  314,688;  276,273;  426,370;25,59338
 194,94;  281,258;  229,891;  407,340;28,94750
 195,54;  263,910;  215,357;  369,546;31,48918
 196,14;  297,019;  234,578;  405,012;36,63617
 196,74;  280,393;  242,129;  389,416;25,97887
 197,34;  258,186;  211,648;  390,907;25,96128
 197,94;  288,924;  241,044;  415,716;27,41140
 198,54;  306,541;  255,194;  430,267;29,32865
 199,14;  262,193;  222,722;  427,949;19,23324
