
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  227,163;  229,418;  218,198; 0,00000
 176,32;  250,971;  247,324;  237,064; 0,00000
 176,92;  281,488;  282,567;  286,893;-24,94315
 177,52;  271,182;  284,646;  274,399; 0,00000
 178,12;  248,016;  254,325;  241,865; 0,00000
 178,72;  272,451;  275,244;  276,001; 0,00000
 179,32;  275,268;  261,786;  258,781; 0,00000
 179,92;  273,340;  278,869;  251,920; 0,00000
 180,52;  254,138;  255,811;  277,718;-7,63763
 181,12;  266,253;  278,332;  268,649; 0,00000
 181,73;  298,606;  290,564;  290,175; 0,00000
 182,33;  399,406;  402,420;  408,394;-50,44215
 182,93;  290,676;  294,107;  293,730; 0,00000
 183,53;  255,438;  256,318;  235,234; 0,00000
 184,13;  264,264;  253,474;  234,768; 0,00000
 184,73;  304,271;  299,777;  296,521; 0,00000
 185,33;  304,156;  249,219;  394,412;37,83765
 185,93;  288,266;  257,437;  398,196;21,90177
 186,53;  325,250;  257,444;  408,744;44,81578
 187,13;  347,779;  295,841;  447,866;34,16374
 187,73;  312,048;  263,439;  415,930;31,87651
 188,33;  321,020;  252,817;  387,713;50,55935
 188,93;  325,878;  266,334;  405,484;42,79147
 189,53;  327,852;  260,856;  424,072;41,04724
 190,13;  362,882;  306,061;  440,384;42,30183
 190,73;  297,701;  243,156;  383,350;38,90689
 191,34;  332,939;  274,020;  434,912;36,61966
 191,94;  317,200;  254,656;  418,799;38,10312
 192,54;  333,128;  254,543;  439,983;42,37786
 193,14;  323,701;  280,840;  434,086;27,96859
 193,74;  340,193;  281,145;  439,295;37,33658
 194,34;  322,637;  269,151;  426,370;34,02060
 194,94;  283,426;  235,994;  407,340;27,68202
 195,54;  262,267;  210,604;  369,546;32,50434
 196,14;  292,321;  229,307;  405,012;35,86377
 196,74;  295,945;  235,447;  389,416;39,29267
 197,34;  267,362;  209,854;  390,907;31,76312
 197,94;  298,614;  244,611;  415,716;31,56154
 198,54;  313,926;  264,076;  430,267;29,99522
 199,14;  289,959;  235,166;  427,949;28,42251
