
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,339;  199,741;  200,777;2374,12164
 176,32;  229,737;  225,729;  223,979; 0,00000
 176,92;  273,773;  254,352;  256,468;917,76673
 177,52;  271,227;  261,585;  265,454;249,20088
 178,12;  249,381;  246,191;  228,377; 0,00000
 178,72;  273,120;  256,803;  258,493;965,28359
 179,32;  255,706;  250,652;  234,314; 0,00000
 179,92;  262,945;  255,041;  253,110; 0,00000
 180,52;  260,570;  243,055;  255,886;136,50382
 181,12;  274,864;  258,888;  259,497; 0,00000
 181,73;  298,397;  266,427;  278,520;264,37802
 182,33;  398,380;  358,357;  354,615; 0,00000
 182,93;  285,105;  274,431;  274,023; 0,00000
 183,53;  244,728;  246,416;  233,568; 0,00000
 184,13;  248,490;  235,495;  227,035; 0,00000
 184,73;  298,859;  285,799;  287,378;827,08888
 185,33;  332,448;  228,805;  366,277;75,39168
 185,93;  331,690;  235,412;  372,564;70,19767
 186,53;  359,667;  256,186;  398,310;72,81049
 187,13;  382,761;  279,426;  434,595;66,59497
 187,73;  342,961;  244,875;  373,249;76,40625
 188,33;  343,092;  250,255;  386,995;67,89298
 188,93;  352,767;  255,162;  385,621;74,81625
 189,53;  354,870;  257,227;  401,302;67,77250
 190,13;  389,748;  280,670;  423,850;76,18228
 190,73;  324,408;  224,529;  378,443;64,89242
 191,34;  365,296;  264,081;  410,691;69,03684
 191,94;  335,178;  245,019;  377,905;67,84722
 192,54;  367,312;  247,664;  427,510;66,52810
 193,14;  369,273;  261,733;  418,542;68,58007
 193,74;  373,465;  262,654;  401,356;79,89167
 194,34;  355,262;  254,966;  402,972;67,76522
 194,94;  335,304;  221,040;  376,033;73,72180
 195,54;  303,676;  216,190;  352,702;64,08704
 196,14;  323,345;  226,891;  382,071;62,15629
 196,74;  332,917;  220,111;  382,041;69,66364
 197,34;  323,579;  197,127;  382,736;68,12810
 197,94;  336,713;  232,119;  400,126;62,25583
 198,54;  367,622;  246,429;  416,944;71,07481
 199,14;  338,179;  216,900;  396,880;67,38445
