
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,399;  199,741;  200,777;2186,84293
 176,32;  227,337;  225,729;  223,979; 0,00000
 176,92;  280,515;  254,352;  256,468;1236,37656
 177,52;  269,044;  261,585;  265,454;192,77700
 178,12;  246,811;  246,191;  228,377; 0,00000
 178,72;  286,463;  256,803;  258,493;1754,62449
 179,32;  268,783;  250,652;  234,314; 0,00000
 179,92;  270,769;  255,041;  253,110; 0,00000
 180,52;  251,297;  243,055;  255,886;64,23757
 181,12;  269,149;  258,888;  259,497; 0,00000
 181,73;  288,373;  266,427;  278,520;181,47937
 182,33;  395,683;  358,357;  354,615; 0,00000
 182,93;  283,830;  274,431;  274,023; 0,00000
 183,53;  243,274;  246,416;  233,568; 0,00000
 184,13;  251,648;  235,495;  227,035; 0,00000
 184,73;  295,807;  285,799;  287,378;633,78588
 185,33;  297,837;  228,805;  366,277;50,21495
 185,93;  305,722;  235,412;  372,564;51,26428
 186,53;  311,308;  256,186;  398,310;38,78469
 187,13;  338,742;  279,426;  434,595;38,22670
 187,73;  304,161;  244,875;  373,249;46,18201
 188,33;  295,437;  250,255;  386,995;33,04244
 188,93;  316,258;  255,162;  385,621;46,83109
 189,53;  307,086;  257,227;  401,302;34,60610
 190,13;  348,561;  280,670;  423,850;47,41644
 190,73;  290,494;  224,529;  378,443;42,85821
 191,34;  321,501;  264,081;  410,691;39,16517
 191,94;  304,577;  245,019;  377,905;44,81923
 192,54;  312,375;  247,664;  427,510;35,98173
 193,14;  309,194;  261,733;  418,542;30,26661
 193,74;  322,219;  262,654;  401,356;42,94482
 194,34;  310,642;  254,966;  402,972;37,61751
 194,94;  284,979;  221,040;  376,033;41,25274
 195,54;  252,142;  216,190;  352,702;26,33586
 196,14;  283,368;  226,891;  382,071;36,39443
 196,74;  286,078;  220,111;  382,041;40,73795
 197,34;  248,886;  197,127;  382,736;27,88569
 197,94;  293,448;  232,119;  400,126;36,50393
 198,54;  286,583;  246,429;  416,944;23,54877
 199,14;  273,635;  216,900;  396,880;31,52287
