
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  195,450;  190,196;  190,611; 0,00000
 176,32;  214,484;  220,808;  214,863; 0,00000
 176,92;  245,800;  230,195;  230,188; 0,00000
 177,52;  249,406;  248,580;  258,697; 8,16637
 178,12;  212,147;  231,962;  210,641; 0,00000
 178,72;  240,967;  254,115;  247,099; 0,00000
 179,32;  228,906;  231,116;  228,583; 0,00000
 179,92;  233,650;  234,963;  235,715; 0,00000
 180,52;  252,996;  233,966;  240,193;305,60705
 181,12;  245,667;  247,502;  241,248; 0,00000
 181,73;  261,495;  262,502;  257,259; 0,00000
 182,33;  331,819;  313,119;  315,976;654,59659
 182,93;  260,556;  242,964;  258,729;111,59395
 183,53;  222,432;  234,730;  223,193; 0,00000
 184,13;  222,080;  240,269;  208,950; 0,00000
 184,73;  257,018;  257,730;  258,096; 0,00000
 185,33;  281,728;  228,331;  353,732;42,58107
 185,93;  296,253;  232,714;  366,417;47,52252
 186,53;  307,419;  235,638;  378,269;50,32675
 187,13;  331,677;  274,870;  419,071;39,39384
 187,73;  291,084;  232,406;  358,474;46,54485
 188,33;  299,684;  230,559;  374,577;47,99723
 188,93;  300,769;  245,479;  372,134;43,65430
 189,53;  298,425;  237,399;  386,092;41,04188
 190,13;  321,400;  263,472;  395,379;43,91579
 190,73;  270,230;  220,706;  350,374;38,19292
 191,34;  309,068;  262,093;  376,943;40,90085
 191,94;  289,776;  237,789;  352,157;45,45633
 192,54;  328,656;  245,641;  406,376;51,64722
 193,14;  313,467;  245,793;  399,720;43,96510
 193,74;  320,089;  241,408;  390,705;52,70127
 194,34;  314,662;  244,409;  388,666;48,69955
 194,94;  291,772;  206,947;  357,290;56,42064
 195,54;  262,198;  201,792;  321,922;50,28366
 196,14;  300,162;  217,025;  377,667;51,75307
 196,74;  282,003;  217,330;  354,898;47,01163
 197,34;  270,734;  200,257;  357,042;44,95170
 197,94;  305,758;  220,793;  384,139;52,01557
 198,54;  306,892;  226,409;  404,002;45,31871
 199,14;  295,603;  208,642;  402,616;44,83137
