
Integration time [ms]: 160,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,006;  199,741;  200,777;894,25916
 176,32;  224,879;  225,729;  223,979; 0,00000
 176,92;  257,936;  254,352;  256,468;169,35597
 177,52;  254,044;  261,585;  265,454;-194,87727
 178,12;  227,722;  246,191;  228,377; 0,00000
 178,72;  264,397;  256,803;  258,493;449,26738
 179,32;  257,243;  250,652;  234,314; 0,00000
 179,92;  260,153;  255,041;  253,110; 0,00000
 180,52;  248,819;  243,055;  255,886;44,92631
 181,12;  257,182;  258,888;  259,497; 0,00000
 181,73;  274,698;  266,427;  278,520;68,39670
 182,33;  367,067;  358,357;  354,615; 0,00000
 182,93;  275,884;  274,431;  274,023; 0,00000
 183,53;  251,739;  246,416;  233,568; 0,00000
 184,13;  248,489;  235,495;  227,035; 0,00000
 184,73;  286,918;  285,799;  287,378;70,85445
 185,33;  302,924;  228,805;  366,277;53,91529
 185,93;  304,051;  235,412;  372,564;50,04563
 186,53;  334,478;  256,186;  398,310;55,08710
 187,13;  358,682;  279,426;  434,595;51,07715
 187,73;  325,881;  244,875;  373,249;63,10152
 188,33;  322,140;  250,255;  386,995;52,57084
 188,93;  321,842;  255,162;  385,621;51,11172
 189,53;  332,496;  257,227;  401,302;52,24286
 190,13;  363,897;  280,670;  423,850;58,12740
 190,73;  311,094;  224,529;  378,443;56,24229
 191,34;  344,959;  264,081;  410,691;55,16534
 191,94;  310,675;  245,019;  377,905;49,40785
 192,54;  338,225;  247,664;  427,510;50,35503
 193,14;  347,940;  261,733;  418,542;54,97595
 193,74;  347,749;  262,654;  401,356;61,35132
 194,34;  343,204;  254,966;  402,972;59,61818
 194,94;  308,011;  221,040;  376,033;56,11270
 195,54;  276,207;  216,190;  352,702;43,96480
 196,14;  306,966;  226,891;  382,071;51,60121
 196,74;  303,559;  220,111;  382,041;51,53300
 197,34;  289,238;  197,127;  382,736;49,62634
 197,94;  319,421;  232,119;  400,126;51,96344
 198,54;  331,791;  246,429;  416,944;50,06132
 199,14;  311,326;  216,900;  396,880;52,46490
