
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  185,920;  188,260;  191,032;-84,41354
 176,32;  221,155;  224,410;  220,873; 0,00000
 176,92;  241,406;  232,797;  240,423;112,88166
 177,52;  254,144;  239,797;  253,164;107,33044
 178,12;  234,728;  226,102;  208,578; 0,00000
 178,72;  248,392;  255,947;  239,478; 0,00000
 179,32;  251,991;  240,102;  239,368; 0,00000
 179,92;  241,035;  233,873;  234,772; 0,00000
 180,52;  235,752;  231,570;  253,930;18,70502
 181,12;  239,622;  244,488;  238,404; 0,00000
 181,73;  268,644;  262,027;  251,328; 0,00000
 182,33;  324,905;  322,568;  321,283; 0,00000
 182,93;  266,411;  258,259;  259,299;783,77468
 183,53;  231,881;  241,408;  225,007; 0,00000
 184,13;  238,439;  230,793;  223,348; 0,00000
 184,73;  266,671;  261,100;  267,377;88,74876
 185,33;  260,457;  229,461;  330,588;30,65022
 185,93;  255,915;  233,150;  351,317;19,26495
 186,53;  283,103;  243,690;  377,755;29,39810
 187,13;  296,960;  267,616;  401,255;21,95725
 187,73;  256,439;  225,381;  357,645;23,48127
 188,33;  257,518;  231,764;  359,112;20,22329
 188,93;  278,341;  240,452;  371,007;29,02178
 189,53;  273,734;  237,678;  366,423;28,00576
 190,13;  304,889;  265,826;  401,940;28,69893
 190,73;  259,260;  214,522;  345,202;34,23464
 191,34;  285,963;  252,219;  374,280;27,64495
 191,94;  257,584;  231,686;  356,499;20,74971
 192,54;  279,385;  233,926;  381,714;30,75935
 193,14;  282,286;  255,847;  373,580;22,45700
 193,74;  278,046;  243,385;  375,282;26,27912
 194,34;  269,945;  240,155;  375,352;22,03425
 194,94;  238,553;  215,155;  344,253;18,12482
 195,54;  222,711;  171,538;  318,943;34,71632
 196,14;  257,891;  217,541;  352,884;29,81339
 196,74;  243,130;  216,229;  339,632;21,79872
 197,34;  221,264;  187,081;  333,058;23,41685
 197,94;  257,174;  208,309;  357,667;32,71679
 198,54;  258,189;  230,464;  369,533;19,93607
 199,14;  238,945;  202,467;  365,217;22,41351
