
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  200,670;  188,260;  191,032;447,69427
 176,32;  229,755;  224,410;  220,873; 0,00000
 176,92;  245,003;  232,797;  240,423;160,05352
 177,52;  260,202;  239,797;  253,164;152,65779
 178,12;  221,020;  226,102;  208,578; 0,00000
 178,72;  266,377;  255,947;  239,478; 0,00000
 179,32;  234,514;  240,102;  239,368; 0,00000
 179,92;  245,711;  233,873;  234,772; 0,00000
 180,52;  247,424;  231,570;  253,930;70,90318
 181,12;  254,066;  244,488;  238,404; 0,00000
 181,73;  267,780;  262,027;  251,328; 0,00000
 182,33;  332,270;  322,568;  321,283; 0,00000
 182,93;  263,470;  258,259;  259,299;500,98612
 183,53;  228,020;  241,408;  225,007; 0,00000
 184,13;  235,885;  230,793;  223,348; 0,00000
 184,73;  272,426;  261,100;  267,377;180,42240
 185,33;  252,768;  229,461;  330,588;23,04709
 185,93;  255,690;  233,150;  351,317;19,07440
 186,53;  269,030;  243,690;  377,755;18,90132
 187,13;  296,808;  267,616;  401,255;21,84371
 187,73;  273,367;  225,381;  357,645;36,28021
 188,33;  272,140;  231,764;  359,112;31,70514
 188,93;  279,351;  240,452;  371,007;29,79569
 189,53;  281,978;  237,678;  366,423;34,40920
 190,13;  322,600;  265,826;  401,940;41,71039
 190,73;  249,429;  214,522;  345,202;26,71144
 191,34;  286,667;  252,219;  374,280;28,22154
 191,94;  264,823;  231,686;  356,499;26,54925
 192,54;  285,308;  233,926;  381,714;34,76745
 193,14;  287,365;  255,847;  373,580;26,77124
 193,74;  272,587;  243,385;  375,282;22,14044
 194,34;  266,870;  240,155;  375,352;19,75970
 194,94;  238,633;  215,155;  344,253;18,18625
 195,54;  234,022;  171,538;  318,943;42,38975
 196,14;  245,815;  217,541;  352,884;20,89119
 196,74;  242,518;  216,229;  339,632;21,30317
 197,34;  230,187;  187,081;  333,058;29,52940
 197,94;  267,945;  208,309;  357,667;39,92849
 198,54;  259,036;  230,464;  369,533;20,54546
 199,14;  243,944;  202,467;  365,217;25,48514
