
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  191,782;  183,171;  181,499; 0,00000
 176,32;  218,223;  212,786;  210,387; 0,00000
 176,92;  236,603;  213,864;  225,396;197,17588
 177,52;  237,511;  238,094;  247,611;-6,12570
 178,12;  212,926;  215,248;  203,250; 0,00000
 178,72;  252,513;  239,709;  247,813;157,99850
 179,32;  248,362;  229,248;  233,882;412,49460
 179,92;  236,024;  240,786;  219,096; 0,00000
 180,52;  229,658;  223,787;  238,299;40,45518
 181,12;  235,093;  233,248;  227,889; 0,00000
 181,73;  266,621;  254,325;  251,284; 0,00000
 182,33;  310,831;  282,248;  286,145;733,47220
 182,93;  258,452;  244,479;  244,283; 0,00000
 183,53;  229,023;  224,248;  208,403; 0,00000
 184,13;  228,083;  222,478;  215,605; 0,00000
 184,73;  254,868;  240,171;  238,529; 0,00000
 185,33;  249,451;  210,706;  327,657;33,12906
 185,93;  258,982;  219,937;  347,694;30,56174
 186,53;  277,783;  237,475;  346,865;36,84752
 187,13;  299,184;  258,168;  393,677;30,26787
 187,73;  259,339;  212,014;  352,264;33,74352
 188,33;  269,324;  227,706;  360,458;31,35054
 188,93;  270,275;  233,628;  362,831;28,36389
 189,53;  287,298;  234,089;  363,606;41,08284
 190,13;  312,609;  260,934;  388,107;40,63323
 190,73;  257,112;  203,397;  339,792;39,38212
 191,34;  282,688;  243,859;  378,912;28,75107
 191,94;  266,405;  214,629;  343,414;40,20401
 192,54;  283,255;  227,014;  380,813;36,56773
 193,14;  282,638;  246,014;  382,841;26,76708
 193,74;  274,131;  227,322;  363,836;34,28926
 194,34;  267,003;  235,091;  353,477;26,95541
 194,94;  236,117;  201,552;  336,897;25,53816
 195,54;  246,908;  190,322;  321,246;43,22096
 196,14;  259,260;  198,476;  351,258;39,78473
 196,74;  244,467;  204,091;  339,840;29,74355
 197,34;  222,681;  181,476;  341,406;25,76435
 197,94;  258,735;  215,706;  375,169;26,98356
 198,54;  250,476;  215,860;  373,369;21,97680
 199,14;  253,958;  199,168;  387,054;29,16109
