
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  195,669;  188,260;  191,032;267,29446
 176,32;  219,075;  224,410;  220,873; 0,00000
 176,92;  239,586;  232,797;  240,423;89,01854
 177,52;  261,364;  239,797;  253,164;161,34606
 178,12;  221,401;  226,102;  208,578; 0,00000
 178,72;  252,704;  255,947;  239,478; 0,00000
 179,32;  244,905;  240,102;  239,368; 0,00000
 179,92;  245,640;  233,873;  234,772; 0,00000
 180,52;  235,030;  231,570;  253,930;15,47422
 181,12;  235,107;  244,488;  238,404; 0,00000
 181,73;  268,575;  262,027;  251,328; 0,00000
 182,33;  337,815;  322,568;  321,283; 0,00000
 182,93;  266,609;  258,259;  259,299;802,79513
 183,53;  228,186;  241,408;  225,007; 0,00000
 184,13;  228,042;  230,793;  223,348; 0,00000
 184,73;  269,777;  261,100;  267,377;138,22379
 185,33;  263,869;  229,461;  330,588;34,02483
 185,93;  270,265;  233,150;  351,317;31,40836
 186,53;  283,215;  243,690;  377,755;29,48175
 187,13;  297,993;  267,616;  401,255;22,73027
 187,73;  266,487;  225,381;  357,645;31,07857
 188,33;  269,782;  231,764;  359,112;29,85340
 188,93;  278,953;  240,452;  371,007;29,49035
 189,53;  288,714;  237,678;  366,423;39,64094
 190,13;  310,186;  265,826;  401,940;32,59030
 190,73;  263,278;  214,522;  345,202;37,30922
 191,34;  292,834;  252,219;  374,280;33,27432
 191,94;  268,244;  231,686;  356,499;29,29045
 192,54;  289,172;  233,926;  381,714;37,38158
 193,14;  286,972;  255,847;  373,580;26,43726
 193,74;  276,824;  243,385;  375,282;25,35258
 194,34;  276,754;  240,155;  375,352;27,07057
 194,94;  235,217;  215,155;  344,253;15,54069
 195,54;  233,795;  171,538;  318,943;42,23532
 196,14;  252,196;  217,541;  352,884;25,60583
 196,74;  242,090;  216,229;  339,632;20,95638
 197,34;  218,553;  187,081;  333,058;21,55956
 197,94;  256,087;  208,309;  357,667;31,98862
 198,54;  260,335;  230,464;  369,533;21,47916
 199,14;  248,648;  202,467;  365,217;28,37592
