
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  191,915;  188,260;  191,032;131,85970
 176,32;  228,443;  224,410;  220,873; 0,00000
 176,92;  242,284;  232,797;  240,423;124,39717
 177,52;  243,208;  239,797;  253,164;25,51554
 178,12;  210,771;  226,102;  208,578; 0,00000
 178,72;  262,228;  255,947;  239,478; 0,00000
 179,32;  241,588;  240,102;  239,368; 0,00000
 179,92;  245,567;  233,873;  234,772; 0,00000
 180,52;  241,401;  231,570;  253,930;43,96552
 181,12;  257,282;  244,488;  238,404; 0,00000
 181,73;  264,579;  262,027;  251,328; 0,00000
 182,33;  334,478;  322,568;  321,283; 0,00000
 182,93;  260,019;  258,259;  259,299;169,20535
 183,53;  235,156;  241,408;  225,007; 0,00000
 184,13;  239,509;  230,793;  223,348; 0,00000
 184,73;  262,147;  261,100;  267,377;16,67608
 185,33;  260,697;  229,461;  330,588;30,88793
 185,93;  257,573;  233,150;  351,317;20,66761
 186,53;  271,158;  243,690;  377,755;20,48851
 187,13;  298,116;  267,616;  401,255;22,82249
 187,73;  255,598;  225,381;  357,645;22,84535
 188,33;  271,361;  231,764;  359,112;31,09355
 188,93;  285,039;  240,452;  371,007;34,15214
 189,53;  277,407;  237,678;  366,423;30,85825
 190,13;  317,299;  265,826;  401,940;37,81649
 190,73;  255,119;  214,522;  345,202;31,06582
 191,34;  289,489;  252,219;  374,280;30,53343
 191,94;  254,354;  231,686;  356,499;18,16140
 192,54;  277,332;  233,926;  381,714;29,37000
 193,14;  278,238;  255,847;  373,580;19,01901
 193,74;  277,587;  243,385;  375,282;25,93086
 194,34;  274,064;  240,155;  375,352;25,08110
 194,94;  238,588;  215,155;  344,253;18,15146
 195,54;  208,247;  171,538;  318,943;24,90343
 196,14;  249,641;  217,541;  352,884;23,71793
 196,74;  251,652;  216,229;  339,632;28,70479
 197,34;  227,610;  187,081;  333,058;27,76384
 197,94;  252,169;  208,309;  357,667;29,36565
 198,54;  263,402;  230,464;  369,533;23,68456
 199,14;  236,579;  202,467;  365,217;20,95999
