
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  203,044;  188,260;  191,032;533,32709
 176,32;  224,332;  224,410;  220,873; 0,00000
 176,92;  243,090;  232,797;  240,423;134,97173
 177,52;  248,081;  239,797;  253,164;61,97082
 178,12;  225,988;  226,102;  208,578; 0,00000
 178,72;  259,065;  255,947;  239,478; 0,00000
 179,32;  241,937;  240,102;  239,368; 0,00000
 179,92;  246,895;  233,873;  234,772; 0,00000
 180,52;  234,893;  231,570;  253,930;14,86101
 181,12;  245,879;  244,488;  238,404; 0,00000
 181,73;  269,070;  262,027;  251,328; 0,00000
 182,33;  330,508;  322,568;  321,283; 0,00000
 182,93;  262,192;  258,259;  259,299;378,11567
 183,53;  228,527;  241,408;  225,007; 0,00000
 184,13;  238,725;  230,793;  223,348; 0,00000
 184,73;  260,449;  261,100;  267,377;-10,36045
 185,33;  252,351;  229,461;  330,588;22,63480
 185,93;  262,528;  233,150;  351,317;24,86145
 186,53;  282,784;  243,690;  377,755;29,16023
 187,13;  309,162;  267,616;  401,255;31,08840
 187,73;  270,916;  225,381;  357,645;34,42702
 188,33;  260,464;  231,764;  359,112;22,53616
 188,93;  279,675;  240,452;  371,007;30,04334
 189,53;  279,587;  237,678;  366,423;32,55166
 190,13;  324,614;  265,826;  401,940;43,19005
 190,73;  263,177;  214,522;  345,202;37,23156
 191,34;  283,770;  252,219;  374,280;25,84810
 191,94;  256,684;  231,686;  356,499;20,02884
 192,54;  278,381;  233,926;  381,714;30,08014
 193,14;  283,553;  255,847;  373,580;23,53289
 193,74;  283,520;  243,385;  375,282;30,42886
 194,34;  273,550;  240,155;  375,352;24,70090
 194,94;  233,971;  215,155;  344,253;14,57563
 195,54;  228,227;  171,538;  318,943;38,45821
 196,14;  241,372;  217,541;  352,884;17,60814
 196,74;  244,153;  216,229;  339,632;22,62800
 197,34;  219,675;  187,081;  333,058;22,32837
 197,94;  255,534;  208,309;  357,667;31,61893
 198,54;  266,361;  230,464;  369,533;25,81276
 199,14;  241,402;  202,467;  365,217;23,92339
