
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  195,613;  183,171;  181,499; 0,00000
 176,32;  208,201;  212,786;  210,387; 0,00000
 176,92;  231,011;  213,864;  225,396;148,68688
 177,52;  244,435;  238,094;  247,611;66,62783
 178,12;  216,734;  215,248;  203,250; 0,00000
 178,72;  240,638;  239,709;  247,813;11,46216
 179,32;  225,943;  229,248;  233,882;-71,32396
 179,92;  233,843;  240,786;  219,096; 0,00000
 180,52;  226,305;  223,787;  238,299;17,35349
 181,12;  232,008;  233,248;  227,889; 0,00000
 181,73;  251,542;  254,325;  251,284; 0,00000
 182,33;  303,949;  282,248;  286,145;556,87205
 182,93;  258,094;  244,479;  244,283; 0,00000
 183,53;  228,071;  224,248;  208,403; 0,00000
 184,13;  219,556;  222,478;  215,605; 0,00000
 184,73;  254,696;  240,171;  238,529; 0,00000
 185,33;  253,270;  210,706;  327,657;36,39464
 185,93;  258,218;  219,937;  347,694;29,96432
 186,53;  259,860;  237,475;  346,865;20,46315
 187,13;  301,813;  258,168;  393,677;32,20825
 187,73;  253,093;  212,014;  352,264;29,29014
 188,33;  260,341;  227,706;  360,458;24,58406
 188,93;  273,064;  233,628;  362,831;30,52236
 189,53;  281,026;  234,089;  363,606;36,24006
 190,13;  300,146;  260,934;  388,107;30,83348
 190,73;  246,471;  203,397;  339,792;31,58062
 191,34;  287,225;  243,859;  378,912;32,11045
 191,94;  244,727;  214,629;  343,414;23,37104
 192,54;  274,632;  227,014;  380,813;30,96140
 193,14;  276,082;  246,014;  382,841;21,97493
 193,74;  271,701;  227,322;  363,836;32,50890
 194,34;  273,226;  235,091;  353,477;32,21251
 194,94;  235,587;  201,552;  336,897;25,14645
 195,54;  219,930;  190,322;  321,246;22,61469
 196,14;  248,931;  198,476;  351,258;33,02451
 196,74;  228,785;  204,091;  339,840;18,19111
 197,34;  231,827;  181,476;  341,406;31,48290
 197,94;  263,286;  215,706;  375,169;29,83737
 198,54;  246,673;  215,860;  373,369;19,56264
 199,14;  245,659;  199,168;  387,054;24,74416
