
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,495;  188,260;  191,032;405,31408
 176,32;  221,888;  224,410;  220,873; 0,00000
 176,92;  237,982;  232,797;  240,423;67,98978
 177,52;  254,302;  239,797;  253,164;108,51713
 178,12;  241,191;  226,102;  208,578; 0,00000
 178,72;  249,352;  255,947;  239,478; 0,00000
 179,32;  246,336;  240,102;  239,368; 0,00000
 179,92;  241,609;  233,873;  234,772; 0,00000
 180,52;  244,771;  231,570;  253,930;59,04066
 181,12;  247,034;  244,488;  238,404; 0,00000
 181,73;  263,988;  262,027;  251,328; 0,00000
 182,33;  348,580;  322,568;  321,283; 0,00000
 182,93;  271,402;  258,259;  259,299;1263,62747
 183,53;  233,000;  241,408;  225,007; 0,00000
 184,13;  227,080;  230,793;  223,348; 0,00000
 184,73;  264,128;  261,100;  267,377;48,23704
 185,33;  254,729;  229,461;  330,588;24,98645
 185,93;  268,169;  233,150;  351,317;29,63529
 186,53;  284,352;  243,690;  377,755;30,32976
 187,13;  307,897;  267,616;  401,255;30,14173
 187,73;  268,408;  225,381;  357,645;32,53116
 188,33;  267,326;  231,764;  359,112;27,92457
 188,93;  287,187;  240,452;  371,007;35,79760
 189,53;  286,073;  237,678;  366,423;37,58966
 190,13;  326,498;  265,826;  401,940;44,57466
 190,73;  261,019;  214,522;  345,202;35,58024
 191,34;  290,982;  252,219;  374,280;31,75694
 191,94;  254,352;  231,686;  356,499;18,16015
 192,54;  284,580;  233,926;  381,714;34,27481
 193,14;  285,151;  255,847;  373,580;24,89065
 193,74;  278,854;  243,385;  375,282;26,89144
 194,34;  281,982;  240,155;  375,352;30,93803
 194,94;  232,559;  215,155;  344,253;13,48127
 195,54;  227,634;  171,538;  318,943;38,05557
 196,14;  251,479;  217,541;  352,884;25,07561
 196,74;  246,110;  216,229;  339,632;24,21406
 197,34;  230,859;  187,081;  333,058;29,98988
 197,94;  245,671;  208,309;  357,667;25,01502
 198,54;  262,388;  230,464;  369,533;22,95590
 199,14;  247,491;  202,467;  365,217;27,66453
