
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  181,471;  183,171;  181,499; 0,00000
 176,32;  222,259;  212,786;  210,387; 0,00000
 176,92;  237,168;  213,864;  225,396;202,07802
 177,52;  250,958;  238,094;  247,611;135,16779
 178,12;  220,718;  215,248;  203,250; 0,00000
 178,72;  249,399;  239,709;  247,813;119,57924
 179,32;  242,168;  229,248;  233,882;278,83300
 179,92;  236,928;  240,786;  219,096; 0,00000
 180,52;  245,936;  223,787;  238,299;152,61855
 181,12;  249,358;  233,248;  227,889; 0,00000
 181,73;  257,856;  254,325;  251,284; 0,00000
 182,33;  308,486;  282,248;  286,145;673,28661
 182,93;  253,057;  244,479;  244,283; 0,00000
 183,53;  237,961;  224,248;  208,403; 0,00000
 184,13;  227,050;  222,478;  215,605; 0,00000
 184,73;  262,696;  240,171;  238,529; 0,00000
 185,33;  255,372;  210,706;  327,657;38,19214
 185,93;  257,611;  219,937;  347,694;29,48927
 186,53;  269,896;  237,475;  346,865;29,63781
 187,13;  302,569;  258,168;  393,677;32,76630
 187,73;  260,395;  212,014;  352,264;34,49689
 188,33;  276,287;  227,706;  360,458;36,59532
 188,93;  277,140;  233,628;  362,831;33,67748
 189,53;  292,039;  234,089;  363,606;44,74317
 190,13;  314,359;  260,934;  388,107;42,00949
 190,73;  262,182;  203,397;  339,792;43,09899
 191,34;  297,911;  243,859;  378,912;40,02308
 191,94;  261,285;  214,629;  343,414;36,22781
 192,54;  282,598;  227,014;  380,813;36,14042
 193,14;  281,511;  246,014;  382,841;25,94291
 193,74;  278,589;  227,322;  363,836;37,55451
 194,34;  270,738;  235,091;  353,477;30,11071
 194,94;  237,225;  201,552;  336,897;26,35673
 195,54;  225,587;  190,322;  321,246;26,93561
 196,14;  247,092;  198,476;  351,258;31,82029
 196,74;  239,513;  204,091;  339,840;26,09430
 197,34;  227,965;  181,476;  341,406;29,06833
 197,94;  253,267;  215,706;  375,169;23,55471
 198,54;  251,847;  215,860;  373,369;22,84748
 199,14;  243,921;  199,168;  387,054;23,81919
