
Integration time [ms]: 120,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  202,575;  188,260;  191,032;516,40515
 176,32;  212,957;  224,410;  220,873; 0,00000
 176,92;  245,153;  232,797;  240,423;162,02021
 177,52;  254,470;  239,797;  253,164;109,77338
 178,12;  224,672;  226,102;  208,578; 0,00000
 178,72;  246,417;  255,947;  239,478; 0,00000
 179,32;  246,486;  240,102;  239,368; 0,00000
 179,92;  250,415;  233,873;  234,772; 0,00000
 180,52;  233,866;  231,570;  253,930;10,26965
 181,12;  249,904;  244,488;  238,404; 0,00000
 181,73;  266,822;  262,027;  251,328; 0,00000
 182,33;  340,761;  322,568;  321,283; 0,00000
 182,93;  268,588;  258,259;  259,299;993,06476
 183,53;  234,182;  241,408;  225,007; 0,00000
 184,13;  230,390;  230,793;  223,348; 0,00000
 184,73;  267,779;  261,100;  267,377;106,39193
 185,33;  245,233;  229,461;  330,588;15,59619
 185,93;  259,597;  233,150;  351,317;22,38112
 186,53;  279,979;  243,690;  377,755;27,06776
 187,13;  296,605;  267,616;  401,255;21,69194
 187,73;  263,245;  225,381;  357,645;28,62708
 188,33;  257,289;  231,764;  359,112;20,04308
 188,93;  278,186;  240,452;  371,007;28,90284
 189,53;  279,409;  237,678;  366,423;32,41355
 190,13;  318,884;  265,826;  401,940;38,98090
 190,73;  257,086;  214,522;  345,202;32,57127
 191,34;  280,302;  252,219;  374,280;23,00738
 191,94;  259,098;  231,686;  356,499;21,96236
 192,54;  275,322;  233,926;  381,714;28,00999
 193,14;  276,646;  255,847;  373,580;17,66610
 193,74;  276,908;  243,385;  375,282;25,41599
 194,34;  284,483;  240,155;  375,352;32,78780
 194,94;  239,148;  215,155;  344,253;18,58529
 195,54;  212,170;  171,538;  318,943;27,56469
 196,14;  248,457;  217,541;  352,884;22,84263
 196,74;  237,024;  216,229;  339,632;16,85122
 197,34;  225,843;  187,081;  333,058;26,55312
 197,94;  263,583;  208,309;  357,667;37,00744
 198,54;  256,524;  230,464;  369,533;18,73941
 199,14;  221,907;  202,467;  365,217;11,94467
