
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,972;  215,188;  220,479;109,31841
 176,32;  232,554;  242,554;  241,291; 0,00000
 176,92;  270,955;  279,490;  268,998; 0,00000
 177,52;  280,767;  265,800;  266,735; 0,00000
 178,12;  246,275;  246,247;  248,356; 1,33640
 178,72;  275,501;  272,088;  263,360; 0,00000
 179,32;  270,999;  262,400;  252,097; 0,00000
 179,92;  272,151;  259,638;  263,938;291,03240
 180,52;  257,405;  243,813;  271,262;49,51596
 181,12;  271,253;  267,178;  262,755; 0,00000
 181,73;  299,361;  282,641;  292,622;167,51967
 182,33;  391,146;  382,498;  382,817; 0,00000
 182,93;  304,393;  289,569;  288,341; 0,00000
 183,53;  248,786;  250,624;  238,373; 0,00000
 184,13;  250,220;  252,088;  236,699; 0,00000
 184,73;  301,803;  295,237;  296,980;376,73302
 185,33;  269,851;  240,512;  337,669;30,19732
 185,93;  281,428;  249,268;  350,717;31,70010
 186,53;  303,025;  261,660;  379,133;35,21234
 187,13;  311,330;  290,674;  391,969;20,39125
 187,73;  293,987;  256,347;  370,132;33,07938
 188,33;  278,938;  250,494;  367,092;24,39543
 188,93;  298,361;  261,470;  368,139;34,58479
 189,53;  294,230;  252,375;  383,047;32,03056
 190,13;  331,481;  301,960;  407,075;28,08451
 190,73;  268,111;  239,442;  369,315;22,07470
 191,34;  308,292;  284,386;  402,733;20,19983
 191,94;  278,663;  251,793;  377,914;21,30497
 192,54;  307,055;  259,224;  375,436;41,15866
 193,14;  305,442;  277,058;  390,727;24,97121
 193,74;  296,333;  273,671;  385,365;20,28935
 194,34;  298,581;  274,599;  383,153;22,09171
 194,94;  260,991;  252,981;  340,332; 9,17048
 195,54;  232,633;  206,052;  313,539;24,72953
 196,14;  254,455;  237,756;  359,114;13,76024
 196,74;  258,033;  245,356;  355,112;11,54970
 197,34;  233,716;  206,073;  338,668;20,84741
 197,94;  259,199;  236,906;  357,137;18,54173
 198,54;  284,285;  247,987;  378,611;27,78803
 199,14;  260,193;  226,385;  359,116;25,47063
