
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  222,567;  215,188;  220,479;139,46554
 176,32;  239,972;  242,554;  241,291; 0,00000
 176,92;  282,424;  279,490;  268,998; 0,00000
 177,52;  278,780;  265,800;  266,735; 0,00000
 178,12;  249,363;  246,247;  248,356;147,73741
 178,72;  271,904;  272,088;  263,360; 0,00000
 179,32;  271,265;  262,400;  252,097; 0,00000
 179,92;  280,651;  259,638;  263,938;488,72709
 180,52;  261,691;  243,813;  271,262;65,13040
 181,12;  272,250;  267,178;  262,755; 0,00000
 181,73;  297,461;  282,641;  292,622;148,48486
 182,33;  415,682;  382,498;  382,817; 0,00000
 182,93;  291,414;  289,569;  288,341; 0,00000
 183,53;  258,123;  250,624;  238,373; 0,00000
 184,13;  262,014;  252,088;  236,699; 0,00000
 184,73;  300,291;  295,237;  296,980;289,97441
 185,33;  267,014;  240,512;  337,669;27,27674
 185,93;  283,781;  249,268;  350,717;34,01997
 186,53;  300,461;  261,660;  379,133;33,02966
 187,13;  310,542;  290,674;  391,969;19,61349
 187,73;  272,742;  256,347;  370,132;14,40880
 188,33;  280,312;  250,494;  367,092;25,57356
 188,93;  289,411;  261,470;  368,139;26,19459
 189,53;  288,009;  252,375;  383,047;27,27014
 190,13;  317,504;  301,960;  407,075;14,78743
 190,73;  263,343;  239,442;  369,315;18,40359
 191,34;  299,021;  284,386;  402,733;12,36593
 191,94;  279,366;  251,793;  377,914;21,86193
 192,54;  290,316;  259,224;  375,436;26,75488
 193,14;  300,467;  277,058;  390,727;20,59394
 193,74;  307,668;  273,671;  385,365;30,43764
 194,34;  291,811;  274,599;  383,153;15,85492
 194,94;  269,485;  252,981;  340,332;18,89451
 195,54;  229,621;  206,052;  313,539;21,92748
 196,14;  269,279;  237,756;  359,114;25,97520
 196,74;  266,431;  245,356;  355,112;19,20140
 197,34;  238,645;  206,073;  338,668;24,56541
 197,94;  273,552;  236,906;  357,137;30,48016
 198,54;  297,649;  247,987;  378,611;38,01910
 199,14;  255,507;  226,385;  359,116;21,94076
