
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  224,719;  215,188;  220,479;180,13636
 176,32;  250,103;  242,554;  241,291; 0,00000
 176,92;  282,635;  279,490;  268,998; 0,00000
 177,52;  278,136;  265,800;  266,735; 0,00000
 178,12;  255,746;  246,247;  248,356;450,44383
 178,72;  280,289;  272,088;  263,360; 0,00000
 179,32;  273,702;  262,400;  252,097; 0,00000
 179,92;  272,534;  259,638;  263,938;299,93329
 180,52;  262,134;  243,813;  271,262;66,74737
 181,12;  277,864;  267,178;  262,755; 0,00000
 181,73;  301,046;  282,641;  292,622;184,40494
 182,33;  417,505;  382,498;  382,817; 0,00000
 182,93;  297,454;  289,569;  288,341; 0,00000
 183,53;  258,656;  250,624;  238,373; 0,00000
 184,13;  252,008;  252,088;  236,699; 0,00000
 184,73;  317,985;  295,237;  296,980;1305,07423
 185,33;  305,224;  240,512;  337,669;66,60545
 185,93;  309,593;  249,268;  350,717;59,46343
 186,53;  334,716;  261,660;  379,133;62,19009
 187,13;  358,842;  290,674;  391,969;67,29647
 187,73;  318,841;  256,347;  370,132;54,92280
 188,33;  314,883;  250,494;  367,092;55,22308
 188,93;  345,040;  261,470;  368,139;78,34503
 189,53;  334,787;  252,375;  383,047;63,06761
 190,13;  372,936;  301,960;  407,075;67,52258
 190,73;  319,069;  239,442;  369,315;61,31162
 191,34;  341,059;  284,386;  402,733;47,88769
 191,94;  327,314;  251,793;  377,914;59,87965
 192,54;  356,010;  259,224;  375,436;83,28424
 193,14;  349,265;  277,058;  390,727;63,52394
 193,74;  345,852;  273,671;  385,365;64,62407
 194,34;  343,551;  274,599;  383,153;63,51871
 194,94;  310,429;  252,981;  340,332;65,76716
 195,54;  275,774;  206,052;  313,539;64,86538
 196,14;  307,190;  237,756;  359,114;57,21405
 196,74;  317,718;  245,356;  355,112;65,92942
 197,34;  275,050;  206,073;  338,668;52,02066
 197,94;  330,095;  236,906;  357,137;77,50829
 198,54;  336,943;  247,987;  378,611;68,10027
 199,14;  312,595;  226,385;  359,116;64,95112
