
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  230,890;  215,188;  220,479;296,77025
 176,32;  254,000;  242,554;  241,291; 0,00000
 176,92;  287,165;  279,490;  268,998; 0,00000
 177,52;  278,352;  265,800;  266,735; 0,00000
 178,12;  255,358;  246,247;  248,356;432,02326
 178,72;  284,972;  272,088;  263,360; 0,00000
 179,32;  273,597;  262,400;  252,097; 0,00000
 179,92;  278,576;  259,638;  263,938;440,44829
 180,52;  274,686;  243,813;  271,262;112,47643
 181,12;  280,715;  267,178;  262,755; 0,00000
 181,73;  303,486;  282,641;  292,622;208,85014
 182,33;  413,504;  382,498;  382,817; 0,00000
 182,93;  305,124;  289,569;  288,341; 0,00000
 183,53;  257,945;  250,624;  238,373; 0,00000
 184,13;  266,532;  252,088;  236,699; 0,00000
 184,73;  317,586;  295,237;  296,980;1282,19826
 185,33;  311,133;  240,512;  337,669;72,68700
 185,93;  325,703;  249,268;  350,717;75,34281
 186,53;  343,893;  261,660;  379,133;70,00209
 187,13;  361,773;  290,674;  391,969;70,19044
 187,73;  324,009;  256,347;  370,132;59,46452
 188,33;  320,206;  250,494;  367,092;59,78834
 188,93;  330,161;  261,470;  368,139;64,39619
 189,53;  318,034;  252,375;  383,047;50,24753
 190,13;  369,572;  301,960;  407,075;64,32197
 190,73;  306,792;  239,442;  369,315;51,85861
 191,34;  345,582;  284,386;  402,733;51,70945
 191,94;  327,697;  251,793;  377,914;60,18345
 192,54;  344,810;  259,224;  375,436;73,64667
 193,14;  354,077;  277,058;  390,727;67,75750
 193,74;  353,970;  273,671;  385,365;71,89248
 194,34;  344,772;  274,599;  383,153;64,64308
 194,94;  311,926;  252,981;  340,332;67,48035
 195,54;  298,318;  206,052;  313,539;85,83913
 196,14;  313,661;  237,756;  359,114;62,54624
 196,74;  305,392;  245,356;  355,112;54,69933
 197,34;  297,256;  206,073;  338,668;68,76804
 197,94;  313,577;  236,906;  357,137;63,76974
 198,54;  338,873;  247,987;  378,611;69,57820
 199,14;  300,722;  226,385;  359,116;56,00547
