
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  216,017;  215,188;  220,479;15,65478
 176,32;  244,308;  242,554;  241,291; 0,00000
 176,92;  285,490;  279,490;  268,998; 0,00000
 177,52;  284,203;  265,800;  266,735; 0,00000
 178,12;  271,180;  246,247;  248,356;1182,30743
 178,72;  287,978;  272,088;  263,360; 0,00000
 179,32;  275,221;  262,400;  252,097; 0,00000
 179,92;  270,569;  259,638;  263,938;254,24143
 180,52;  262,124;  243,813;  271,262;66,71031
 181,12;  293,603;  267,178;  262,755; 0,00000
 181,73;  298,684;  282,641;  292,622;160,73538
 182,33;  421,211;  382,498;  382,817; 0,00000
 182,93;  296,627;  289,569;  288,341; 0,00000
 183,53;  256,267;  250,624;  238,373; 0,00000
 184,13;  260,488;  252,088;  236,699; 0,00000
 184,73;  321,930;  295,237;  296,980;1531,41053
 185,33;  282,241;  240,512;  337,669;42,94956
 185,93;  284,925;  249,268;  350,717;35,14769
 186,53;  302,802;  261,660;  379,133;35,02292
 187,13;  331,345;  290,674;  391,969;40,15069
 187,73;  286,043;  256,347;  370,132;26,09838
 188,33;  294,590;  250,494;  367,092;37,81917
 188,93;  303,525;  261,470;  368,139;39,42612
 189,53;  302,584;  252,375;  383,047;38,42361
 190,13;  340,454;  301,960;  407,075;36,62063
 190,73;  275,292;  239,442;  369,315;27,60394
 191,34;  314,839;  284,386;  402,733;25,73237
 191,94;  298,668;  251,793;  377,914;37,16633
 192,54;  291,190;  259,224;  375,436;27,50669
 193,14;  318,994;  277,058;  390,727;36,89354
 193,74;  304,629;  273,671;  385,365;27,71686
 194,34;  308,001;  274,599;  383,153;30,76988
 194,94;  264,495;  252,981;  340,332;13,18187
 195,54;  234,334;  206,052;  313,539;26,31279
 196,14;  268,605;  237,756;  359,114;25,41973
 196,74;  261,097;  245,356;  355,112;14,34140
 197,34;  242,726;  206,073;  338,668;27,64286
 197,94;  272,555;  236,906;  357,137;29,65061
 198,54;  293,211;  247,987;  378,611;34,62146
 199,14;  264,583;  226,385;  359,116;28,77818
