
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  191,593;  198,826;  199,895;-676,64723
 176,32;  226,243;  225,747;  213,988; 0,00000
 176,92;  251,230;  230,902;  237,204;322,54611
 177,52;  256,952;  243,672;  249,040;247,37206
 178,12;  226,142;  223,824;  216,829; 0,00000
 178,72;  259,821;  242,054;  232,322; 0,00000
 179,32;  254,000;  245,055;  239,716; 0,00000
 179,92;  248,547;  238,748;  234,395; 0,00000
 180,52;  243,460;  234,904;  235,618; 0,00000
 181,12;  242,553;  244,133;  241,379; 0,00000
 181,73;  260,696;  256,517;  257,185; 0,00000
 182,33;  338,706;  319,442;  320,867;1351,65824
 182,93;  260,905;  249,979;  256,182;176,13671
 183,53;  238,003;  232,977;  218,308; 0,00000
 184,13;  227,478;  241,054;  219,967; 0,00000
 184,73;  265,884;  253,361;  250,508; 0,00000
 185,33;  262,863;  228,042;  313,759;40,62344
 185,93;  269,575;  229,348;  334,294;38,33059
 186,53;  277,340;  250,426;  358,855;24,82211
 187,13;  303,203;  263,043;  384,677;33,01770
 187,73;  266,303;  232,733;  335,881;32,54542
 188,33;  278,028;  236,732;  349,923;36,48349
 188,93;  285,434;  238,268;  356,432;39,91549
 189,53;  271,564;  236,035;  373,011;25,93765
 190,13;  317,529;  281,955;  391,137;32,58246
 190,73;  254,679;  222,188;  336,341;28,46212
 191,34;  284,869;  250,037;  367,575;29,63516
 191,94;  269,185;  239,270;  324,899;34,93567
 192,54;  280,225;  246,121;  368,785;27,80287
 193,14;  290,185;  243,350;  361,652;39,58941
 193,74;  280,261;  245,735;  356,804;31,08563
 194,34;  292,855;  252,274;  352,956;40,30626
 194,94;  241,445;  205,120;  329,255;29,26309
 195,54;  230,674;  187,273;  308,405;35,82984
 196,14;  251,578;  214,120;  326,870;33,22217
 196,74;  243,235;  216,888;  327,870;23,74018
 197,34;  219,575;  181,121;  321,432;27,40627
 197,94;  266,121;  226,581;  355,618;30,64210
 198,54;  268,412;  219,351;  355,982;35,90790
 199,14;  250,926;  206,891;  359,235;28,90512
