
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  207,772;  198,826;  199,895;836,80676
 176,32;  239,573;  225,747;  213,988; 0,00000
 176,92;  268,343;  230,902;  237,204;594,09329
 177,52;  263,078;  243,672;  249,040;361,46646
 178,12;  250,683;  223,824;  216,829; 0,00000
 178,72;  272,662;  242,054;  232,322; 0,00000
 179,32;  266,716;  245,055;  239,716; 0,00000
 179,92;  260,750;  238,748;  234,395; 0,00000
 180,52;  250,052;  234,904;  235,618; 0,00000
 181,12;  262,489;  244,133;  241,379; 0,00000
 181,73;  278,123;  256,517;  257,185; 0,00000
 182,33;  371,446;  319,442;  320,867;3648,90686
 182,93;  287,884;  249,979;  256,182;611,08495
 183,53;  249,847;  232,977;  218,308; 0,00000
 184,13;  246,093;  241,054;  219,967; 0,00000
 184,73;  287,640;  253,361;  250,508; 0,00000
 185,33;  268,351;  228,042;  313,759;47,02611
 185,93;  270,521;  229,348;  334,294;39,23280
 186,53;  291,930;  250,426;  358,855;38,27708
 187,13;  319,612;  263,043;  384,677;46,50785
 187,73;  286,888;  232,733;  335,881;52,50255
 188,33;  278,056;  236,732;  349,923;36,50770
 188,93;  294,759;  238,268;  356,432;47,80677
 189,53;  288,793;  236,035;  373,011;38,51652
 190,13;  325,221;  281,955;  391,137;39,62771
 190,73;  268,948;  222,188;  336,341;40,96265
 191,34;  299,160;  250,037;  367,575;41,79313
 191,94;  278,363;  239,270;  324,899;45,65437
 192,54;  273,176;  246,121;  368,785;22,05615
 193,14;  312,248;  243,350;  361,652;58,23911
 193,74;  301,550;  245,735;  356,804;50,25296
 194,34;  303,210;  252,274;  352,956;50,59093
 194,94;  252,977;  205,120;  329,255;38,55278
 195,54;  227,144;  187,273;  308,405;32,91539
 196,14;  263,613;  214,120;  326,870;43,89642
 196,74;  258,874;  216,888;  327,870;37,83186
 197,34;  233,128;  181,121;  321,432;37,06508
 197,94;  264,057;  226,581;  355,618;29,04249
 198,54;  271,526;  219,351;  355,982;38,18697
 199,14;  250,647;  206,891;  359,235;28,72204
