
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  190,215;  198,826;  199,895;-805,47741
 176,32;  235,092;  225,747;  213,988; 0,00000
 176,92;  260,200;  230,902;  237,204;464,88615
 177,52;  254,382;  243,672;  249,040;199,50289
 178,12;  238,015;  223,824;  216,829; 0,00000
 178,72;  263,986;  242,054;  232,322; 0,00000
 179,32;  262,078;  245,055;  239,716; 0,00000
 179,92;  250,555;  238,748;  234,395; 0,00000
 180,52;  251,714;  234,904;  235,618; 0,00000
 181,12;  254,912;  244,133;  241,379; 0,00000
 181,73;  278,570;  256,517;  257,185; 0,00000
 182,33;  345,698;  319,442;  320,867;1842,29655
 182,93;  274,019;  249,979;  256,182;387,55535
 183,53;  252,230;  232,977;  218,308; 0,00000
 184,13;  235,021;  241,054;  219,967; 0,00000
 184,73;  276,034;  253,361;  250,508; 0,00000
 185,33;  252,561;  228,042;  313,759;28,60408
 185,93;  275,061;  229,348;  334,294;43,55848
 186,53;  281,140;  250,426;  358,855;28,32595
 187,13;  310,017;  263,043;  384,677;38,61944
 187,73;  275,005;  232,733;  335,881;40,98228
 188,33;  267,563;  236,732;  349,923;27,23802
 188,93;  284,257;  238,268;  356,432;38,91936
 189,53;  291,938;  236,035;  373,011;40,81210
 190,13;  314,770;  281,955;  391,137;30,05522
 190,73;  270,048;  222,188;  336,341;41,92566
 191,34;  300,542;  250,037;  367,575;42,96916
 191,94;  267,918;  239,270;  324,899;33,45583
 192,54;  288,006;  246,121;  368,785;34,14589
 193,14;  295,262;  243,350;  361,652;43,88038
 193,74;  286,946;  245,735;  356,804;37,10438
 194,34;  281,346;  252,274;  352,956;28,87541
 194,94;  251,590;  205,120;  329,255;37,43530
 195,54;  238,008;  187,273;  308,405;41,88451
 196,14;  260,557;  214,120;  326,870;41,18559
 196,74;  247,001;  216,888;  327,870;27,13299
 197,34;  236,922;  181,121;  321,432;39,76967
 197,94;  260,255;  226,581;  355,618;26,09623
 198,54;  269,850;  219,351;  355,982;36,96044
 199,14;  237,819;  206,891;  359,235;20,30128
