
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  198,469;  215,188;  220,479;-315,99937
 176,32;  236,184;  242,554;  241,291; 0,00000
 176,92;  271,492;  279,490;  268,998; 0,00000
 177,52;  281,904;  265,800;  266,735; 0,00000
 178,12;  245,207;  246,247;  248,356;-49,30032
 178,72;  270,623;  272,088;  263,360; 0,00000
 179,32;  260,014;  262,400;  252,097; 0,00000
 179,92;  268,038;  259,638;  263,938;195,36450
 180,52;  263,448;  243,813;  271,262;71,53130
 181,12;  272,669;  267,178;  262,755; 0,00000
 181,73;  283,073;  282,641;  292,622; 4,32614
 182,33;  392,091;  382,498;  382,817; 0,00000
 182,93;  287,378;  289,569;  288,341; 0,00000
 183,53;  257,313;  250,624;  238,373; 0,00000
 184,13;  247,267;  252,088;  236,699; 0,00000
 184,73;  295,270;  295,237;  296,980; 1,88258
 185,33;  267,398;  240,512;  337,669;27,67199
 185,93;  280,684;  249,268;  350,717;30,96720
 186,53;  290,308;  261,660;  379,133;24,38675
 187,13;  311,664;  290,674;  391,969;20,72174
 187,73;  276,614;  256,347;  370,132;17,81182
 188,33;  282,541;  250,494;  367,092;27,48570
 188,93;  289,826;  261,470;  368,139;26,58298
 189,53;  291,977;  252,375;  383,047;30,30674
 190,13;  327,515;  301,960;  407,075;24,31173
 190,73;  271,387;  239,442;  369,315;24,59720
 191,34;  303,728;  284,386;  402,733;16,34362
 191,94;  278,169;  251,793;  377,914;20,91317
 192,54;  297,084;  259,224;  375,436;32,57841
 193,14;  297,710;  277,058;  390,727;18,16855
 193,74;  300,926;  273,671;  385,365;24,40156
 194,34;  289,056;  274,599;  383,153;13,31754
 194,94;  264,260;  252,981;  340,332;12,91318
 195,54;  241,405;  206,052;  313,539;32,89110
 196,14;  265,293;  237,756;  359,114;22,69078
 196,74;  256,367;  245,356;  355,112;10,03187
 197,34;  239,568;  206,073;  338,668;25,26108
 197,94;  267,992;  236,906;  357,137;25,85559
 198,54;  275,123;  247,987;  378,611;20,77426
 199,14;  251,241;  226,385;  359,116;18,72661
