
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  226,196;  215,188;  220,479;208,04360
 176,32;  238,990;  242,554;  241,291; 0,00000
 176,92;  286,037;  279,490;  268,998; 0,00000
 177,52;  275,924;  265,800;  266,735; 0,00000
 178,12;  248,201;  246,247;  248,356;92,63254
 178,72;  295,163;  272,088;  263,360; 0,00000
 179,32;  269,132;  262,400;  252,097; 0,00000
 179,92;  273,404;  259,638;  263,938;320,17088
 180,52;  249,493;  243,813;  271,262;20,69170
 181,12;  271,417;  267,178;  262,755; 0,00000
 181,73;  296,105;  282,641;  292,622;134,90040
 182,33;  402,241;  382,498;  382,817; 0,00000
 182,93;  295,798;  289,569;  288,341; 0,00000
 183,53;  253,487;  250,624;  238,373; 0,00000
 184,13;  249,050;  252,088;  236,699; 0,00000
 184,73;  299,587;  295,237;  296,980;249,59927
 185,33;  282,601;  240,512;  337,669;43,32012
 185,93;  278,712;  249,268;  350,717;29,02298
 186,53;  289,049;  261,660;  379,133;23,31520
 187,13;  314,902;  290,674;  391,969;23,91774
 187,73;  291,372;  256,347;  370,132;30,78161
 188,33;  288,217;  250,494;  367,092;32,35326
 188,93;  300,897;  261,470;  368,139;36,96211
 189,53;  295,558;  252,375;  383,047;33,04683
 190,13;  349,617;  301,960;  407,075;45,33816
 190,73;  277,860;  239,442;  369,315;29,58095
 191,34;  311,531;  284,386;  402,733;22,93717
 191,94;  292,491;  251,793;  377,914;32,26859
 192,54;  299,203;  259,224;  375,436;34,40221
 193,14;  312,108;  277,058;  390,727;30,83546
 193,74;  309,019;  273,671;  385,365;31,64715
 194,34;  304,331;  274,599;  383,153;27,38903
 194,94;  266,213;  252,981;  340,332;15,14874
 195,54;  239,645;  206,052;  313,539;31,25377
 196,14;  263,530;  237,756;  359,114;21,23797
 196,74;  264,038;  245,356;  355,112;17,02095
 197,34;  240,645;  206,073;  338,668;26,07350
 197,94;  264,359;  236,906;  357,137;22,83408
 198,54;  287,441;  247,987;  378,611;30,20423
 199,14;  255,249;  226,385;  359,116;21,74614
