
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  204,897;  215,188;  220,479;-194,51284
 176,32;  242,745;  242,554;  241,291; 0,00000
 176,92;  281,132;  279,490;  268,998; 0,00000
 177,52;  274,238;  265,800;  266,735; 0,00000
 178,12;  248,328;  246,247;  248,356;98,65206
 178,72;  270,813;  272,088;  263,360; 0,00000
 179,32;  259,720;  262,400;  252,097; 0,00000
 179,92;  272,958;  259,638;  263,938;309,78818
 180,52;  275,212;  243,813;  271,262;114,39302
 181,12;  269,535;  267,178;  262,755; 0,00000
 181,73;  294,314;  282,641;  292,622;116,95630
 182,33;  402,776;  382,498;  382,817; 0,00000
 182,93;  292,754;  289,569;  288,341; 0,00000
 183,53;  258,507;  250,624;  238,373; 0,00000
 184,13;  248,353;  252,088;  236,699; 0,00000
 184,73;  297,914;  295,237;  296,980;153,58068
 185,33;  308,764;  240,512;  337,669;70,24899
 185,93;  308,303;  249,268;  350,717;58,19200
 186,53;  320,132;  261,660;  379,133;49,77477
 187,13;  355,377;  290,674;  391,969;63,87591
 187,73;  311,644;  256,347;  370,132;48,59778
 188,33;  315,254;  250,494;  367,092;55,54169
 188,93;  323,664;  261,470;  368,139;58,30621
 189,53;  318,174;  252,375;  383,047;50,35456
 190,13;  357,512;  301,960;  407,075;52,84886
 190,73;  292,291;  239,442;  369,315;40,69311
 191,34;  333,090;  284,386;  402,733;41,15366
 191,94;  324,485;  251,793;  377,914;57,63658
 192,54;  330,479;  259,224;  375,436;61,31512
 193,14;  347,083;  277,058;  390,727;61,60434
 193,74;  341,953;  273,671;  385,365;61,13377
 194,34;  335,333;  274,599;  383,153;55,94821
 194,94;  314,136;  252,981;  340,332;70,01098
 195,54;  292,706;  206,052;  313,539;80,61860
 196,14;  313,149;  237,756;  359,114;62,12484
 196,74;  299,840;  245,356;  355,112;49,64119
 197,34;  290,090;  206,073;  338,668;63,36338
 197,94;  309,143;  236,906;  357,137;60,08169
 198,54;  324,586;  247,987;  378,611;58,64062
 199,14;  319,120;  226,385;  359,116;69,86654
