
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  218,874;  215,188;  220,479;69,66650
 176,32;  239,065;  242,554;  241,291; 0,00000
 176,92;  287,784;  279,490;  268,998; 0,00000
 177,52;  276,702;  265,800;  266,735; 0,00000
 178,12;  256,872;  246,247;  248,356;503,82237
 178,72;  287,648;  272,088;  263,360; 0,00000
 179,32;  269,432;  262,400;  252,097; 0,00000
 179,92;  279,291;  259,638;  263,938;457,08375
 180,52;  263,046;  243,813;  271,262;70,06951
 181,12;  281,717;  267,178;  262,755; 0,00000
 181,73;  302,922;  282,641;  292,622;203,19971
 182,33;  427,149;  382,498;  382,817; 0,00000
 182,93;  287,786;  289,569;  288,341; 0,00000
 183,53;  260,129;  250,624;  238,373; 0,00000
 184,13;  261,826;  252,088;  236,699; 0,00000
 184,73;  317,578;  295,237;  296,980;1281,73211
 185,33;  313,704;  240,512;  337,669;75,33378
 185,93;  320,188;  249,268;  350,717;69,90712
 186,53;  336,491;  261,660;  379,133;63,70100
 187,13;  353,517;  290,674;  391,969;62,03953
 187,73;  324,386;  256,347;  370,132;59,79621
 188,33;  329,321;  250,494;  367,092;67,60622
 188,93;  333,288;  261,470;  368,139;67,32767
 189,53;  334,156;  252,375;  383,047;62,58505
 190,13;  376,724;  301,960;  407,075;71,12607
 190,73;  316,225;  239,442;  369,315;59,12167
 191,34;  348,824;  284,386;  402,733;54,44808
 191,94;  325,561;  251,793;  377,914;58,48927
 192,54;  335,993;  259,224;  375,436;66,05924
 193,14;  344,151;  277,058;  390,727;59,02503
 193,74;  340,548;  273,671;  385,365;59,87518
 194,34;  354,023;  274,599;  383,153;73,16497
 194,94;  309,312;  252,981;  340,332;64,48773
 195,54;  273,725;  206,052;  313,539;62,95915
 196,14;  309,937;  237,756;  359,114;59,47770
 196,74;  307,237;  245,356;  355,112;56,38064
 197,34;  290,078;  206,073;  338,668;63,35459
 197,94;  311,545;  236,906;  357,137;62,07959
 198,54;  342,073;  247,987;  378,611;72,02817
 199,14;  311,309;  226,385;  359,116;63,98213
