
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  225,549;  215,188;  220,479;195,81421
 176,32;  248,845;  242,554;  241,291; 0,00000
 176,92;  286,490;  279,490;  268,998; 0,00000
 177,52;  280,868;  265,800;  266,735; 0,00000
 178,12;  260,802;  246,247;  248,356;690,16429
 178,72;  281,675;  272,088;  263,360; 0,00000
 179,32;  266,437;  262,400;  252,097; 0,00000
 179,92;  283,715;  259,638;  263,938;559,98949
 180,52;  263,172;  243,813;  271,262;70,52628
 181,12;  283,580;  267,178;  262,755; 0,00000
 181,73;  307,564;  282,641;  292,622;249,71415
 182,33;  425,014;  382,498;  382,817; 0,00000
 182,93;  293,234;  289,569;  288,341; 0,00000
 183,53;  255,490;  250,624;  238,373; 0,00000
 184,13;  250,526;  252,088;  236,699; 0,00000
 184,73;  307,472;  295,237;  296,980;701,95238
 185,33;  299,500;  240,512;  337,669;60,71371
 185,93;  307,942;  249,268;  350,717;57,83550
 186,53;  341,350;  261,660;  379,133;67,83718
 187,13;  358,984;  290,674;  391,969;67,43712
 187,73;  317,099;  256,347;  370,132;53,39181
 188,33;  310,979;  250,494;  367,092;51,87530
 188,93;  335,457;  261,470;  368,139;69,36171
 189,53;  323,946;  252,375;  383,047;54,77156
 190,13;  373,827;  301,960;  407,075;68,37003
 190,73;  302,212;  239,442;  369,315;48,33194
 191,34;  319,452;  284,386;  402,733;29,63033
 191,94;  315,182;  251,793;  377,914;50,26010
 192,54;  323,996;  259,224;  375,436;55,73647
 193,14;  346,404;  277,058;  390,727;61,00703
 193,74;  346,083;  273,671;  385,365;64,83142
 194,34;  349,219;  274,599;  383,153;68,73947
 194,94;  294,846;  252,981;  340,332;47,92759
 195,54;  286,201;  206,052;  313,539;74,56662
 196,14;  304,678;  237,756;  359,114;55,14441
 196,74;  290,540;  245,356;  355,112;41,16763
 197,34;  285,095;  206,073;  338,668;59,59656
 197,94;  314,282;  236,906;  357,137;64,35648
 198,54;  338,808;  247,987;  378,611;69,52839
 199,14;  303,048;  226,385;  359,116;57,75842
