
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  228,346;  215,188;  220,479;248,68961
 176,32;  243,214;  242,554;  241,291; 0,00000
 176,92;  287,599;  279,490;  268,998; 0,00000
 177,52;  280,001;  265,800;  266,735; 0,00000
 178,12;  261,352;  246,247;  248,356;716,25009
 178,72;  283,400;  272,088;  263,360; 0,00000
 179,32;  270,719;  262,400;  252,097; 0,00000
 179,92;  273,126;  259,638;  263,938;313,69789
 180,52;  268,860;  243,813;  271,262;91,25187
 181,12;  277,564;  267,178;  262,755; 0,00000
 181,73;  299,401;  282,641;  292,622;167,92187
 182,33;  428,547;  382,498;  382,817; 0,00000
 182,93;  298,482;  289,569;  288,341; 0,00000
 183,53;  249,731;  250,624;  238,373; 0,00000
 184,13;  256,685;  252,088;  236,699; 0,00000
 184,73;  307,911;  295,237;  296,980;727,12559
 185,33;  296,321;  240,512;  337,669;57,44197
 185,93;  288,351;  249,268;  350,717;38,52462
 186,53;  320,263;  261,660;  379,133;49,88609
 187,13;  343,691;  290,674;  391,969;52,33911
 187,73;  301,168;  256,347;  370,132;39,39045
 188,33;  297,661;  250,494;  367,092;40,45272
 188,93;  305,193;  261,470;  368,139;40,98964
 189,53;  296,252;  252,375;  383,047;33,57811
 190,13;  332,960;  301,960;  407,075;29,49141
 190,73;  277,443;  239,442;  369,315;29,26049
 191,34;  316,185;  284,386;  402,733;26,86905
 191,94;  298,776;  251,793;  377,914;37,25184
 192,54;  329,256;  259,224;  375,436;60,26207
 193,14;  328,758;  277,058;  390,727;45,48288
 193,74;  328,683;  273,671;  385,365;49,25316
 194,34;  330,431;  274,599;  383,153;51,43184
 194,94;  286,624;  252,981;  340,332;38,51457
 195,54;  261,040;  206,052;  313,539;51,15833
 196,14;  284,498;  237,756;  359,114;38,51600
 196,74;  278,060;  245,356;  355,112;29,79651
 197,34;  262,818;  206,073;  338,668;42,79600
 197,94;  287,584;  236,906;  357,137;42,15082
 198,54;  314,388;  247,987;  378,611;50,83352
 199,14;  291,713;  226,385;  359,116;49,21789
