
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  231,439;  215,188;  220,479;307,15225
 176,32;  247,781;  242,554;  241,291; 0,00000
 176,92;  286,377;  279,490;  268,998; 0,00000
 177,52;  277,699;  265,800;  266,735; 0,00000
 178,12;  249,594;  246,247;  248,356;158,71516
 178,72;  285,250;  272,088;  263,360; 0,00000
 179,32;  276,532;  262,400;  252,097; 0,00000
 179,92;  269,605;  259,638;  263,938;231,81414
 180,52;  260,693;  243,813;  271,262;61,49689
 181,12;  284,965;  267,178;  262,755; 0,00000
 181,73;  301,184;  282,641;  292,622;185,78429
 182,33;  420,576;  382,498;  382,817; 0,00000
 182,93;  300,550;  289,569;  288,341; 0,00000
 183,53;  253,477;  250,624;  238,373; 0,00000
 184,13;  247,504;  252,088;  236,699; 0,00000
 184,73;  313,753;  295,237;  296,980;1062,29505
 185,33;  316,737;  240,512;  337,669;78,45584
 185,93;  315,956;  249,268;  350,717;65,73542
 186,53;  330,857;  261,660;  379,133;58,90490
 187,13;  355,849;  290,674;  391,969;64,34204
 187,73;  322,324;  256,347;  370,132;57,98350
 188,33;  313,120;  250,494;  367,092;53,71126
 188,93;  327,502;  261,470;  368,139;61,90416
 189,53;  313,219;  252,375;  383,047;46,56223
 190,13;  361,539;  301,960;  407,075;56,67994
 190,73;  303,055;  239,442;  369,315;48,98071
 191,34;  344,135;  284,386;  402,733;50,48618
 191,94;  320,062;  251,793;  377,914;54,12944
 192,54;  348,568;  259,224;  375,436;76,87992
 193,14;  347,318;  277,058;  390,727;61,81126
 193,74;  343,001;  273,671;  385,365;62,07194
 194,34;  347,140;  274,599;  383,153;66,82457
 194,94;  301,323;  252,981;  340,332;55,34204
 195,54;  265,456;  206,052;  313,539;55,26616
 196,14;  310,772;  237,756;  359,114;60,16620
 196,74;  298,018;  245,356;  355,112;47,98098
 197,34;  283,526;  206,073;  338,668;58,41300
 197,94;  308,188;  236,906;  357,137;59,28768
 198,54;  322,216;  247,987;  378,611;56,82632
 199,14;  295,644;  226,385;  359,116;52,17960
