
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  197,405;  198,826;  199,895;-132,88785
 176,32;  221,731;  225,747;  213,988; 0,00000
 176,92;  243,682;  230,902;  237,204;202,78441
 177,52;  251,008;  243,672;  249,040;136,64979
 178,12;  219,137;  223,824;  216,829; 0,00000
 178,72;  246,496;  242,054;  232,322; 0,00000
 179,32;  258,177;  245,055;  239,716; 0,00000
 179,92;  233,635;  238,748;  234,395; 0,00000
 180,52;  237,192;  234,904;  235,618; 0,00000
 181,12;  251,953;  244,133;  241,379; 0,00000
 181,73;  273,351;  256,517;  257,185; 0,00000
 182,33;  327,713;  319,442;  320,867;580,35249
 182,93;  260,406;  249,979;  256,182;168,09333
 183,53;  219,504;  232,977;  218,308; 0,00000
 184,13;  232,217;  241,054;  219,967; 0,00000
 184,73;  260,470;  253,361;  250,508; 0,00000
 185,33;  270,638;  228,042;  313,759;49,69348
 185,93;  273,823;  229,348;  334,294;42,37850
 186,53;  287,957;  250,426;  358,855;34,61338
 187,13;  323,104;  263,043;  384,677;49,37847
 187,73;  285,207;  232,733;  335,881;50,87247
 188,33;  279,086;  236,732;  349,923;37,41797
 188,93;  296,925;  238,268;  356,432;49,63978
 189,53;  300,532;  236,035;  373,011;47,08606
 190,13;  324,955;  281,955;  391,137;39,38324
 190,73;  275,055;  222,188;  336,341;46,31265
 191,34;  297,085;  250,037;  367,575;40,02769
 191,94;  277,437;  239,270;  324,899;44,57249
 192,54;  300,789;  246,121;  368,785;44,56763
 193,14;  294,616;  243,350;  361,652;43,33456
 193,74;  296,611;  245,735;  356,804;45,80579
 194,34;  287,719;  252,274;  352,956;35,20486
 194,94;  263,244;  205,120;  329,255;46,82370
 195,54;  245,874;  187,273;  308,405;48,37790
 196,14;  259,329;  214,120;  326,870;40,09626
 196,74;  255,309;  216,888;  327,870;34,61956
 197,34;  250,876;  181,121;  321,432;49,71474
 197,94;  274,968;  226,581;  355,618;37,49877
 198,54;  277,851;  219,351;  355,982;42,81611
 199,14;  252,993;  206,891;  359,235;30,26157
