
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,431;  215,188;  220,479;-14,32190
 176,32;  246,612;  242,554;  241,291; 0,00000
 176,92;  282,704;  279,490;  268,998; 0,00000
 177,52;  274,803;  265,800;  266,735; 0,00000
 178,12;  247,509;  246,247;  248,356;59,84121
 178,72;  273,668;  272,088;  263,360; 0,00000
 179,32;  265,293;  262,400;  252,097; 0,00000
 179,92;  275,428;  259,638;  263,938;367,24746
 180,52;  253,261;  243,813;  271,262;34,42088
 181,12;  279,891;  267,178;  262,755; 0,00000
 181,73;  295,874;  282,641;  292,622;132,58539
 182,33;  399,152;  382,498;  382,817; 0,00000
 182,93;  290,680;  289,569;  288,341; 0,00000
 183,53;  253,554;  250,624;  238,373; 0,00000
 184,13;  248,634;  252,088;  236,699; 0,00000
 184,73;  294,212;  295,237;  296,980;-58,78183
 185,33;  271,060;  240,512;  337,669;31,44137
 185,93;  284,975;  249,268;  350,717;35,19645
 186,53;  294,714;  261,660;  379,133;28,13749
 187,13;  322,677;  290,674;  391,969;31,59377
 187,73;  288,081;  256,347;  370,132;27,88909
 188,33;  280,680;  250,494;  367,092;25,88902
 188,93;  287,174;  261,470;  368,139;24,09761
 189,53;  298,141;  252,375;  383,047;35,02398
 190,13;  344,987;  301,960;  407,075;40,93306
 190,73;  276,061;  239,442;  369,315;28,19586
 191,34;  305,559;  284,386;  402,733;17,89036
 191,94;  285,866;  251,793;  377,914;27,01617
 192,54;  292,736;  259,224;  375,436;28,83716
 193,14;  309,202;  277,058;  390,727;28,27931
 193,74;  299,057;  273,671;  385,365;22,72872
 194,34;  297,937;  274,599;  383,153;21,49872
 194,94;  270,618;  252,981;  340,332;20,19078
 195,54;  239,407;  206,052;  313,539;31,03170
 196,14;  271,033;  237,756;  359,114;27,42046
 196,74;  270,749;  245,356;  355,112;23,13583
 197,34;  237,151;  206,073;  338,668;23,43853
 197,94;  279,131;  236,906;  357,137;35,12051
 198,54;  278,252;  247,987;  378,611;23,16966
 199,14;  268,253;  226,385;  359,116;31,54345
