
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  214,284;  215,188;  220,479;-17,09409
 176,32;  244,119;  242,554;  241,291; 0,00000
 176,92;  278,025;  279,490;  268,998; 0,00000
 177,52;  269,784;  265,800;  266,735; 0,00000
 178,12;  256,083;  246,247;  248,356;466,40065
 178,72;  279,239;  272,088;  263,360; 0,00000
 179,32;  258,647;  262,400;  252,097; 0,00000
 179,92;  266,756;  259,638;  263,938;165,54461
 180,52;  256,436;  243,813;  271,262;45,98559
 181,12;  282,354;  267,178;  262,755; 0,00000
 181,73;  294,775;  282,641;  292,622;121,57548
 182,33;  405,440;  382,498;  382,817; 0,00000
 182,93;  288,664;  289,569;  288,341; 0,00000
 183,53;  259,856;  250,624;  238,373; 0,00000
 184,13;  256,976;  252,088;  236,699; 0,00000
 184,73;  303,318;  295,237;  296,980;463,60492
 185,33;  291,885;  240,512;  337,669;52,87571
 185,93;  296,991;  249,268;  350,717;47,04145
 186,53;  304,782;  261,660;  379,133;36,70805
 187,13;  327,077;  290,674;  391,969;35,93743
 187,73;  301,147;  256,347;  370,132;39,37261
 188,33;  288,622;  250,494;  367,092;32,70035
 188,93;  308,843;  261,470;  368,139;44,41186
 189,53;  300,226;  252,375;  383,047;36,61917
 190,13;  342,420;  301,960;  407,075;38,49091
 190,73;  279,281;  239,442;  369,315;30,67550
 191,34;  319,865;  284,386;  402,733;29,97871
 191,94;  291,077;  251,793;  377,914;31,14731
 192,54;  322,522;  259,224;  375,436;54,46751
 193,14;  326,622;  277,058;  390,727;43,60403
 193,74;  312,359;  273,671;  385,365;34,63795
 194,34;  311,233;  274,599;  383,153;33,74698
 194,94;  276,964;  252,981;  340,332;27,45591
 195,54;  252,761;  206,052;  313,539;43,45550
 196,14;  276,669;  237,756;  359,114;32,06452
 196,74;  277,534;  245,356;  355,112;29,31787
 197,34;  251,814;  206,073;  338,668;34,49711
 197,94;  282,910;  236,906;  357,137;38,26354
 198,54;  302,428;  247,987;  378,611;41,67717
 199,14;  275,462;  226,385;  359,116;36,97455
