
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,042;  198,826;  199,895;955,62102
 176,32;  227,935;  225,747;  213,988; 0,00000
 176,92;  272,700;  230,902;  237,204;663,23508
 177,52;  270,274;  243,672;  249,040;495,52141
 178,12;  240,399;  223,824;  216,829; 0,00000
 178,72;  272,892;  242,054;  232,322; 0,00000
 179,32;  267,306;  245,055;  239,716; 0,00000
 179,92;  264,652;  238,748;  234,395; 0,00000
 180,52;  260,187;  234,904;  235,618; 0,00000
 181,12;  266,782;  244,133;  241,379; 0,00000
 181,73;  292,061;  256,517;  257,185; 0,00000
 182,33;  380,531;  319,442;  320,867;4286,31328
 182,93;  280,218;  249,979;  256,182;487,49378
 183,53;  242,127;  232,977;  218,308; 0,00000
 184,13;  247,311;  241,054;  219,967; 0,00000
 184,73;  285,923;  253,361;  250,508; 0,00000
 185,33;  266,484;  228,042;  313,759;44,84708
 185,93;  275,326;  229,348;  334,294;43,81071
 186,53;  279,966;  250,426;  358,855;27,24333
 187,13;  310,582;  263,043;  384,677;39,08374
 187,73;  272,738;  232,733;  335,881;38,78379
 188,33;  271,964;  236,732;  349,923;31,12599
 188,93;  285,812;  238,268;  356,432;40,23518
 189,53;  282,973;  236,035;  373,011;34,26688
 190,13;  320,248;  281,955;  391,137;35,07235
 190,73;  259,898;  222,188;  336,341;33,03439
 191,34;  294,613;  250,037;  367,575;37,92501
 191,94;  270,832;  239,270;  324,899;36,85842
 192,54;  296,143;  246,121;  368,785;40,77979
 193,14;  303,514;  243,350;  361,652;50,85634
 193,74;  301,114;  245,735;  356,804;49,86004
 194,34;  299,455;  252,274;  352,956;46,86195
 194,94;  267,996;  205,120;  329,255;50,65123
 195,54;  236,318;  187,273;  308,405;40,48915
 196,14;  264,830;  214,120;  326,870;44,97551
 196,74;  262,915;  216,888;  327,870;41,47290
 197,34;  233,532;  181,121;  321,432;37,35301
 197,94;  264,436;  226,581;  355,618;29,33669
 198,54;  282,969;  219,351;  355,982;46,56226
 199,14;  264,367;  206,891;  359,235;37,72761
