
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  220,094;  215,188;  220,479;92,72279
 176,32;  258,067;  242,554;  241,291; 0,00000
 176,92;  282,753;  279,490;  268,998; 0,00000
 177,52;  267,053;  265,800;  266,735; 0,00000
 178,12;  248,031;  246,247;  248,356;84,58127
 178,72;  277,182;  272,088;  263,360; 0,00000
 179,32;  263,671;  262,400;  252,097; 0,00000
 179,92;  279,017;  259,638;  263,938;450,72424
 180,52;  265,870;  243,813;  271,262;80,35739
 181,12;  274,694;  267,178;  262,755; 0,00000
 181,73;  292,962;  282,641;  292,622;103,41224
 182,33;  400,636;  382,498;  382,817; 0,00000
 182,93;  294,317;  289,569;  288,341; 0,00000
 183,53;  258,874;  250,624;  238,373; 0,00000
 184,13;  255,996;  252,088;  236,699; 0,00000
 184,73;  308,180;  295,237;  296,980;742,54661
 185,33;  273,419;  240,512;  337,669;33,86922
 185,93;  279,975;  249,268;  350,717;30,26804
 186,53;  300,464;  261,660;  379,133;33,03251
 187,13;  307,080;  290,674;  391,969;16,19574
 187,73;  286,825;  256,347;  370,132;26,78535
 188,33;  276,985;  250,494;  367,092;22,72016
 188,93;  288,493;  261,470;  368,139;25,33389
 189,53;  290,090;  252,375;  383,047;28,86252
 190,13;  328,719;  301,960;  407,075;25,45682
 190,73;  277,214;  239,442;  369,315;29,08368
 191,34;  294,354;  284,386;  402,733; 8,42318
 191,94;  280,048;  251,793;  377,914;22,40297
 192,54;  292,842;  259,224;  375,436;28,92806
 193,14;  305,931;  277,058;  390,727;25,40138
 193,74;  299,128;  273,671;  385,365;22,79177
 194,34;  305,391;  274,599;  383,153;28,36560
 194,94;  264,504;  252,981;  340,332;13,19153
 195,54;  237,218;  206,052;  313,539;28,99576
 196,14;  271,599;  237,756;  359,114;27,88703
 196,74;  268,912;  245,356;  355,112;21,46209
 197,34;  238,368;  206,073;  338,668;24,35615
 197,94;  276,990;  236,906;  357,137;33,33974
 198,54;  283,281;  247,987;  378,611;27,01934
 199,14;  258,712;  226,385;  359,116;24,35514
