
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  217,755;  215,188;  220,479;48,51753
 176,32;  247,006;  242,554;  241,291; 0,00000
 176,92;  288,766;  279,490;  268,998; 0,00000
 177,52;  273,694;  265,800;  266,735; 0,00000
 178,12;  251,897;  246,247;  248,356;267,92894
 178,72;  295,173;  272,088;  263,360; 0,00000
 179,32;  281,226;  262,400;  252,097; 0,00000
 179,92;  286,305;  259,638;  263,938;620,21895
 180,52;  268,510;  243,813;  271,262;89,97477
 181,12;  284,450;  267,178;  262,755; 0,00000
 181,73;  305,113;  282,641;  292,622;225,15011
 182,33;  412,001;  382,498;  382,817; 0,00000
 182,93;  299,957;  289,569;  288,341; 0,00000
 183,53;  260,465;  250,624;  238,373; 0,00000
 184,13;  257,294;  252,088;  236,699; 0,00000
 184,73;  316,065;  295,237;  296,980;1194,93529
 185,33;  282,992;  240,512;  337,669;43,72315
 185,93;  286,242;  249,268;  350,717;36,44568
 186,53;  317,926;  261,660;  379,133;47,89679
 187,13;  327,931;  290,674;  391,969;36,78019
 187,73;  306,180;  256,347;  370,132;43,79524
 188,33;  296,605;  250,494;  367,092;39,54757
 188,93;  313,670;  261,470;  368,139;48,93703
 189,53;  306,010;  252,375;  383,047;41,04565
 190,13;  350,932;  301,960;  407,075;46,58931
 190,73;  286,157;  239,442;  369,315;35,96978
 191,34;  323,493;  284,386;  402,733;33,04424
 191,94;  297,854;  251,793;  377,914;36,52110
 192,54;  306,137;  259,224;  375,436;40,36906
 193,14;  322,774;  277,058;  390,727;40,21913
 193,74;  321,495;  273,671;  385,365;42,81727
 194,34;  317,330;  274,599;  383,153;39,36336
 194,94;  283,884;  252,981;  340,332;35,37783
 195,54;  251,565;  206,052;  313,539;42,34305
 196,14;  278,325;  237,756;  359,114;33,42884
 196,74;  276,933;  245,356;  355,112;28,76969
 197,34;  249,836;  206,073;  338,668;33,00485
 197,94;  289,459;  236,906;  357,137;43,71015
 198,54;  298,314;  247,987;  378,611;38,52771
 199,14;  266,592;  226,385;  359,116;30,29198
