
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  225,554;  215,188;  220,479;195,91342
 176,32;  238,727;  242,554;  241,291; 0,00000
 176,92;  297,937;  279,490;  268,998; 0,00000
 177,52;  287,864;  265,800;  266,735; 0,00000
 178,12;  258,561;  246,247;  248,356;583,92234
 178,72;  286,220;  272,088;  263,360; 0,00000
 179,32;  283,092;  262,400;  252,097; 0,00000
 179,92;  279,608;  259,638;  263,938;464,45487
 180,52;  270,789;  243,813;  271,262;98,27820
 181,12;  283,236;  267,178;  262,755; 0,00000
 181,73;  301,503;  282,641;  292,622;188,98516
 182,33;  423,285;  382,498;  382,817; 0,00000
 182,93;  300,477;  289,569;  288,341; 0,00000
 183,53;  248,826;  250,624;  238,373; 0,00000
 184,13;  260,853;  252,088;  236,699; 0,00000
 184,73;  312,033;  295,237;  296,980;963,60546
 185,33;  305,336;  240,512;  337,669;66,72060
 185,93;  310,929;  249,268;  350,717;60,78054
 186,53;  338,580;  261,660;  379,133;65,47865
 187,13;  354,920;  290,674;  391,969;63,42433
 187,73;  320,660;  256,347;  370,132;56,52158
 188,33;  321,392;  250,494;  367,092;60,80585
 188,93;  326,916;  261,470;  368,139;61,35466
 189,53;  325,864;  252,375;  383,047;56,23922
 190,13;  355,463;  301,960;  407,075;50,89976
 190,73;  298,805;  239,442;  369,315;45,70851
 191,34;  326,500;  284,386;  402,733;35,58489
 191,94;  318,252;  251,793;  377,914;52,69475
 192,54;  328,567;  259,224;  375,436;59,66986
 193,14;  348,656;  277,058;  390,727;62,98829
 193,74;  352,187;  273,671;  385,365;70,29649
 194,34;  337,958;  274,599;  383,153;58,36632
 194,94;  301,884;  252,981;  340,332;55,98430
 195,54;  292,612;  206,052;  313,539;80,53057
 196,14;  306,606;  237,756;  359,114;56,73270
 196,74;  300,232;  245,356;  355,112;49,99835
 197,34;  278,619;  206,073;  338,668;54,71267
 197,94;  323,655;  236,906;  357,137;72,15164
 198,54;  322,817;  247,987;  378,611;57,28604
 199,14;  307,804;  226,385;  359,116;61,34117
