
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  211,676;  215,188;  220,479;-66,37656
 176,32;  234,697;  242,554;  241,291; 0,00000
 176,92;  271,599;  279,490;  268,998; 0,00000
 177,52;  277,427;  265,800;  266,735; 0,00000
 178,12;  242,456;  246,247;  248,356;-179,77195
 178,72;  289,747;  272,088;  263,360; 0,00000
 179,32;  276,460;  262,400;  252,097; 0,00000
 179,92;  260,824;  259,638;  263,938;27,58476
 180,52;  256,205;  243,813;  271,262;45,14601
 181,12;  263,022;  267,178;  262,755; 0,00000
 181,73;  290,250;  282,641;  292,622;76,23917
 182,33;  385,467;  382,498;  382,817; 0,00000
 182,93;  283,864;  289,569;  288,341; 0,00000
 183,53;  241,026;  250,624;  238,373; 0,00000
 184,13;  253,498;  252,088;  236,699; 0,00000
 184,73;  289,885;  295,237;  296,980;-307,05594
 185,33;  270,094;  240,512;  337,669;30,44731
 185,93;  285,694;  249,268;  350,717;35,90540
 186,53;  287,590;  261,660;  379,133;22,07328
 187,13;  309,779;  290,674;  391,969;18,86073
 187,73;  285,869;  256,347;  370,132;25,94559
 188,33;  270,026;  250,494;  367,092;16,75179
 188,93;  295,876;  261,470;  368,139;32,25560
 189,53;  284,638;  252,375;  383,047;24,69039
 190,13;  326,335;  301,960;  407,075;23,18868
 190,73;  255,447;  239,442;  369,315;12,32370
 191,34;  289,620;  284,386;  402,733; 4,42256
 191,94;  277,205;  251,793;  377,914;20,14853
 192,54;  280,771;  259,224;  375,436;18,54180
 193,14;  292,191;  277,058;  390,727;13,31326
 193,74;  302,647;  273,671;  385,365;25,94281
 194,34;  290,955;  274,599;  383,153;15,06657
 194,94;  261,397;  252,981;  340,332; 9,63549
 195,54;  235,078;  206,052;  313,539;27,00411
 196,14;  259,399;  237,756;  359,114;17,83380
 196,74;  257,775;  245,356;  355,112;11,31515
 197,34;  228,837;  206,073;  338,668;17,16821
 197,94;  257,969;  236,906;  357,137;17,51943
 198,54;  278,470;  247,987;  378,611;23,33624
 199,14;  254,214;  226,385;  359,116;20,96616
