
Integration time [ms]: 150,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,623;  215,188;  220,479;-86,29199
 176,32;  245,223;  242,554;  241,291; 0,00000
 176,92;  279,108;  279,490;  268,998; 0,00000
 177,52;  266,646;  265,800;  266,735; 0,00000
 178,12;  252,959;  246,247;  248,356;318,27129
 178,72;  274,400;  272,088;  263,360; 0,00000
 179,32;  275,750;  262,400;  252,097; 0,00000
 179,92;  262,044;  259,638;  263,938;55,96604
 180,52;  251,201;  243,813;  271,262;26,91610
 181,12;  274,802;  267,178;  262,755; 0,00000
 181,73;  301,076;  282,641;  292,622;184,70957
 182,33;  393,171;  382,498;  382,817; 0,00000
 182,93;  285,217;  289,569;  288,341; 0,00000
 183,53;  240,544;  250,624;  238,373; 0,00000
 184,13;  250,060;  252,088;  236,699; 0,00000
 184,73;  308,765;  295,237;  296,980;776,12347
 185,33;  277,399;  240,512;  337,669;37,96572
 185,93;  283,678;  249,268;  350,717;33,91854
 186,53;  293,731;  261,660;  379,133;27,30040
 187,13;  330,319;  290,674;  391,969;39,13762
 187,73;  292,996;  256,347;  370,132;32,20906
 188,33;  292,131;  250,494;  367,092;35,71006
 188,93;  296,403;  261,470;  368,139;32,74955
 189,53;  294,784;  252,375;  383,047;32,45457
 190,13;  331,311;  301,960;  407,075;27,92278
 190,73;  273,567;  239,442;  369,315;26,27603
 191,34;  306,549;  284,386;  402,733;18,72706
 191,94;  284,090;  251,793;  377,914;25,60758
 192,54;  306,348;  259,224;  375,436;40,54997
 193,14;  310,627;  277,058;  390,727;29,53241
 193,74;  308,661;  273,671;  385,365;31,32686
 194,34;  299,252;  274,599;  383,153;22,71005
 194,94;  284,506;  252,981;  340,332;36,09029
 195,54;  230,739;  206,052;  313,539;22,96780
 196,14;  269,009;  237,756;  359,114;25,75269
 196,74;  274,345;  245,356;  355,112;26,41183
 197,34;  246,039;  206,073;  338,668;30,14133
 197,94;  275,538;  236,906;  357,137;32,13196
 198,54;  292,767;  247,987;  378,611;34,28180
 199,14;  268,707;  226,385;  359,116;31,88564
