
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  209,722;  188,806;  192,948;504,95566
 176,32;  231,567;  218,728;  207,323; 0,00000
 176,92;  270,591;  248,652;  240,090; 0,00000
 177,52;  266,209;  261,729;  239,099; 0,00000
 178,12;  240,795;  238,267;  209,348; 0,00000
 178,72;  269,499;  259,574;  241,854; 0,00000
 179,32;  269,638;  241,036;  239,202; 0,00000
 179,92;  262,684;  249,959;  234,033; 0,00000
 180,52;  249,189;  232,730;  241,318;191,65444
 181,12;  263,202;  247,806;  232,456; 0,00000
 181,73;  277,369;  272,575;  262,561; 0,00000
 182,33;  373,531;  344,806;  321,769; 0,00000
 182,93;  277,028;  269,421;  250,076; 0,00000
 183,53;  243,444;  243,574;  216,568; 0,00000
 184,13;  254,710;  244,190;  217,799; 0,00000
 184,73;  284,896;  271,651;  252,053; 0,00000
 185,33;  251,313;  226,337;  314,214;28,42137
 185,93;  259,095;  242,567;  344,643;16,19193
 186,53;  278,828;  246,183;  356,123;29,69323
 187,13;  296,229;  268,645;  389,171;22,88612
 187,73;  264,365;  244,183;  351,695;18,77239
 188,33;  270,376;  239,182;  336,731;31,97716
 188,93;  274,464;  249,104;  347,227;25,84487
 189,53;  273,747;  235,257;  358,725;31,17409
 190,13;  321,627;  280,640;  388,439;38,02186
 190,73;  253,467;  216,487;  327,192;33,40419
 191,34;  283,604;  253,719;  357,002;28,93543
 191,94;  256,864;  229,567;  335,061;25,87605
 192,54;  285,705;  248,261;  366,038;31,79247
 193,14;  289,320;  258,953;  366,396;28,26329
 193,74;  282,137;  251,953;  354,594;29,40749
 194,34;  275,884;  251,415;  354,530;23,72961
 194,94;  240,601;  222,030;  322,296;18,52176
 195,54;  218,918;  202,260;  301,272;16,82408
 196,14;  246,665;  235,492;  335,114;11,21522
 196,74;  238,816;  221,645;  329,599;15,90596
 197,34;  222,801;  197,877;  330,897;18,73701
 197,94;  252,807;  228,722;  353,820;19,25288
 198,54;  262,043;  238,646;  363,993;18,66573
 199,14;  230,070;  217,954;  354,060; 8,90146
