
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,987;  188,806;  192,948;535,48935
 176,32;  231,832;  218,728;  207,323; 0,00000
 176,92;  255,874;  248,652;  240,090; 0,00000
 177,52;  266,147;  261,729;  239,099; 0,00000
 178,12;  237,278;  238,267;  209,348; 0,00000
 178,72;  263,452;  259,574;  241,854; 0,00000
 179,32;  248,826;  241,036;  239,202; 0,00000
 179,92;  256,601;  249,959;  234,033; 0,00000
 180,52;  247,139;  232,730;  241,318;167,78670
 181,12;  272,790;  247,806;  232,456; 0,00000
 181,73;  276,853;  272,575;  262,561; 0,00000
 182,33;  364,995;  344,806;  321,769; 0,00000
 182,93;  274,047;  269,421;  250,076; 0,00000
 183,53;  242,903;  243,574;  216,568; 0,00000
 184,13;  248,666;  244,190;  217,799; 0,00000
 184,73;  279,240;  271,651;  252,053; 0,00000
 185,33;  257,216;  226,337;  314,214;35,13881
 185,93;  261,602;  242,567;  344,643;18,64785
 186,53;  270,064;  246,183;  356,123;21,72160
 187,13;  287,921;  268,645;  389,171;15,99302
 187,73;  253,457;  244,183;  351,695; 8,62603
 188,33;  270,281;  239,182;  336,731;31,87981
 188,93;  269,684;  249,104;  347,227;20,97313
 189,53;  268,881;  235,257;  358,725;27,23304
 190,13;  303,786;  280,640;  388,439;21,47150
 190,73;  246,834;  216,487;  327,192;27,41198
 191,34;  281,629;  253,719;  357,002;27,02300
 191,94;  254,977;  229,567;  335,061;24,08718
 192,54;  264,146;  248,261;  366,038;13,48718
 193,14;  278,650;  258,953;  366,396;18,33225
 193,74;  292,970;  251,953;  354,594;39,96157
 194,34;  281,853;  251,415;  354,530;29,51821
 194,94;  239,704;  222,030;  322,296;17,62745
 195,54;  207,118;  202,260;  301,272; 4,90640
 196,14;  242,044;  235,492;  335,114; 6,57708
 196,74;  233,531;  221,645;  329,599;11,01026
 197,34;  223,036;  197,877;  330,897;18,91343
 197,94;  248,262;  228,722;  353,820;15,61968
 198,54;  264,500;  238,646;  363,993;20,62619
 199,14;  230,455;  217,954;  354,060; 9,18479
