
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  199,017;  188,806;  192,948;246,50977
 176,32;  229,535;  218,728;  207,323; 0,00000
 176,92;  256,134;  248,652;  240,090; 0,00000
 177,52;  259,404;  261,729;  239,099; 0,00000
 178,12;  218,490;  238,267;  209,348; 0,00000
 178,72;  255,629;  259,574;  241,854; 0,00000
 179,32;  257,294;  241,036;  239,202; 0,00000
 179,92;  245,934;  249,959;  234,033; 0,00000
 180,52;  241,207;  232,730;  241,318;98,71284
 181,12;  254,824;  247,806;  232,456; 0,00000
 181,73;  273,919;  272,575;  262,561; 0,00000
 182,33;  345,843;  344,806;  321,769; 0,00000
 182,93;  265,980;  269,421;  250,076; 0,00000
 183,53;  238,587;  243,574;  216,568; 0,00000
 184,13;  229,215;  244,190;  217,799; 0,00000
 184,73;  265,153;  271,651;  252,053; 0,00000
 185,33;  253,237;  226,337;  314,214;30,61030
 185,93;  248,962;  242,567;  344,643; 6,26494
 186,53;  266,900;  246,183;  356,123;18,84359
 187,13;  292,871;  268,645;  389,171;20,10024
 187,73;  257,712;  244,183;  351,695;12,58345
 188,33;  258,196;  239,182;  336,731;19,49145
 188,93;  264,007;  249,104;  347,227;15,18776
 189,53;  262,066;  235,257;  358,725;21,71290
 190,13;  293,763;  280,640;  388,439;12,17317
 190,73;  243,079;  216,487;  327,192;24,02012
 191,34;  273,109;  253,719;  357,002;18,77377
 191,94;  264,207;  229,567;  335,061;32,83583
 192,54;  260,037;  248,261;  366,038; 9,99797
 193,14;  279,817;  258,953;  366,396;19,41847
 193,74;  276,430;  251,953;  354,594;23,84709
 194,34;  275,774;  251,415;  354,530;23,62368
 194,94;  233,931;  222,030;  322,296;11,86944
 195,54;  224,721;  202,260;  301,272;22,68436
 196,14;  237,866;  235,492;  335,114; 2,38305
 196,74;  238,148;  221,645;  329,599;15,28675
 197,34;  215,215;  197,877;  330,897;13,03421
 197,94;  243,008;  228,722;  353,820;11,41931
 198,54;  246,318;  238,646;  363,993; 6,12046
 199,14;  233,344;  217,954;  354,060;11,30708
