
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  210,348;  188,806;  192,948;520,05927
 176,32;  237,700;  218,728;  207,323; 0,00000
 176,92;  261,030;  248,652;  240,090; 0,00000
 177,52;  257,045;  261,729;  239,099; 0,00000
 178,12;  254,931;  238,267;  209,348; 0,00000
 178,72;  274,068;  259,574;  241,854; 0,00000
 179,32;  267,770;  241,036;  239,202; 0,00000
 179,92;  258,551;  249,959;  234,033; 0,00000
 180,52;  253,641;  232,730;  241,318;243,48815
 181,12;  265,614;  247,806;  232,456; 0,00000
 181,73;  280,559;  272,575;  262,561; 0,00000
 182,33;  360,552;  344,806;  321,769; 0,00000
 182,93;  282,248;  269,421;  250,076; 0,00000
 183,53;  245,304;  243,574;  216,568; 0,00000
 184,13;  254,124;  244,190;  217,799; 0,00000
 184,73;  283,743;  271,651;  252,053; 0,00000
 185,33;  272,067;  226,337;  314,214;52,03864
 185,93;  276,465;  242,567;  344,643;33,20783
 186,53;  285,469;  246,183;  356,123;35,73398
 187,13;  320,030;  268,645;  389,171;42,63421
 187,73;  268,130;  244,183;  351,695;22,27400
 188,33;  262,790;  239,182;  336,731;24,20072
 188,93;  281,663;  249,104;  347,227;33,18180
 189,53;  276,764;  235,257;  358,725;33,61755
 190,13;  322,396;  280,640;  388,439;38,73478
 190,73;  267,968;  216,487;  327,192;46,50266
 191,34;  302,610;  253,719;  357,002;47,33704
 191,94;  276,386;  229,567;  335,061;44,38118
 192,54;  292,799;  248,261;  366,038;37,81548
 193,14;  300,498;  258,953;  366,396;38,66711
 193,74;  295,916;  251,953;  354,594;42,83180
 194,34;  286,388;  251,415;  354,530;33,91686
 194,94;  264,162;  222,030;  322,296;42,02055
 195,54;  223,445;  202,260;  301,272;21,39640
 196,14;  254,341;  235,492;  335,114;18,92079
 196,74;  251,324;  221,645;  329,599;27,49266
 197,34;  227,221;  197,877;  330,897;22,05965
 197,94;  267,149;  228,722;  353,820;30,71758
 198,54;  273,257;  238,646;  363,993;27,61252
 199,14;  237,748;  217,954;  354,060;14,54317
