
Integration time [ms]: 130,000
Averaging Nr. [scans]: 13
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 2009305U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175,72;  213,004;  206,883;  192,948; 0,00000
 176,32;  226,906;  243,267;  207,323; 0,00000
 176,92;  268,772;  268,037;  240,090; 0,00000
 177,52;  263,122;  265,575;  239,099; 0,00000
 178,12;  248,761;  242,959;  209,348; 0,00000
 178,72;  281,223;  273,420;  241,854; 0,00000
 179,32;  267,514;  262,036;  239,202; 0,00000
 179,92;  259,686;  244,113;  234,033; 0,00000
 180,52;  256,873;  249,115;  241,318; 0,00000
 181,12;  269,458;  270,729;  232,456; 0,00000
 181,73;  280,652;  286,344;  262,561; 0,00000
 182,33;  372,153;  376,191;  321,769; 0,00000
 182,93;  268,399;  272,883;  250,076; 0,00000
 183,53;  244,887;  243,420;  216,568; 0,00000
 184,13;  244,353;  251,882;  217,799; 0,00000
 184,73;  293,915;  293,804;  252,053; 0,00000
 185,33;  257,885;  241,488;  314,214;22,54677
 185,93;  266,049;  246,948;  344,643;19,55169
 186,53;  279,983;  257,872;  356,123;22,50505
 187,13;  295,713;  286,488;  389,171; 8,98382
 187,73;  260,737;  259,102;  351,695; 1,76536
 188,33;  263,772;  243,025;  336,731;22,14033
 188,93;  275,519;  269,253;  347,227; 8,03595
 189,53;  285,868;  254,252;  358,725;30,26272
 190,13;  306,769;  299,942;  388,439; 7,71426
 190,73;  253,731;  235,328;  327,192;20,03241
 191,34;  287,463;  262,638;  357,002;26,30784
 191,94;  264,198;  248,486;  335,061;18,14850
 192,54;  278,760;  260,489;  366,038;17,31055
 193,14;  286,780;  271,642;  366,396;15,97635
 193,74;  284,169;  261,411;  354,594;24,42241
 194,34;  280,247;  270,412;  354,530;11,69214
 194,94;  257,057;  238,411;  322,296;22,22758
 195,54;  224,425;  202,642;  301,272;22,08557
 196,14;  248,621;  242,335;  335,114; 6,77515
 196,74;  237,189;  231,718;  329,599; 5,58906
 197,34;  222,604;  206,643;  330,897;12,84494
 197,94;  248,375;  235,258;  353,820;11,06389
 198,54;  265,613;  253,027;  363,993;11,34210
 199,14;  232,957;  217,259;  354,060;11,47523
